BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Io;INACHUS THOLUS;IOTH1621S1235;Named formation;Valley;TH;INACHUS THOLUS;Approuved by IAU in 1979;God;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Greek. river god, father of Io.;12.35;12°21';-16.21;-16°13';178.93;???;Io;2682;Inachus Tholus;Inachus Tholus;Tholus, tholi;TH;178.93;-16.21;12.35;-13.73;-18.7;15.09;9.25;Planetographic  +East  0 - 360;;Greek. river god, father of Io.;Europe;Greek;Approved;1979;19;10.01.2006;
Io;INTI PATERA;IOPE6837S1250;Named formation;Complex crater;PE;INTI PATERA;Approuved by IAU in 1979;God;Inca nation;Inca;Not appliable;Not appliable;Not appliable;Not appliable;Inca sun god.;12.5;12°30';-68.37;-68°22';76.26;???;Io;2702;Inti Patera;Inti Patera;Patera, paterae;PE;76.26;-68.37;12.5;-67.05;-69.34;15.61;9.28;Planetographic  +East  0 - 360;;Inca sun god.;South and Central America;Inca;Approved;1979;7;04.09.2009;
Io;IONIAN MONS;IOMO904N12376;Named formation;Mountains;MO;IONIAN MONS;Approuved by IAU in 1997;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Io crossed this sea in her wanderings.;123.76;123°45';9.04;9°2';193.33;???;Io;2707;Ionian Mons;Ionian Mons;Mons, montes;MO;193.33;9.04;123.76;11.99;6.06;125.83;121.46;Planetographic  +East  0 - 360;;Io crossed this sea in her wanderings.;Europe;Greek;Approved;1997;19;10.01.2006;
Io;IOPOLIS PLANUM;IOPM3529S2729;Named formation;Plateau or elevated plain;PM;IOPOLIS PLANUM;Approuved by IAU in 1985;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Town where Io was worshipped as moon goddess (present-day Antioch).;27.29;27°17';-35.29;-35°17';234.69;???;Io;2708;Iopolis Planum;Iopolis Planum;Planum, plana;PM;234.69;-35.29;27.29;-31.06;-38.44;29.53;25.33;Planetographic  +East  0 - 360;;Town where Io was worshipped as moon goddess (present-day Antioch).;Europe;Greek;Approved;1985;19;10.01.2006;
Io;ISUM PATERA;IOPE2986N15147;Named formation;Complex crater;PE;ISUM PATERA;Approuved by IAU in 1997;God;Assyria;Assyria;Not appliable;Not appliable;Not appliable;Not appliable;Assyrian fire god.;151.47;151°28';29.86;29°51';59.13;???;Io;2749;Isum Patera;Isum Patera;Patera, paterae;PE;59.13;29.86;151.47;30.74;29.01;152.33;150.62;Planetographic  +East  0 - 360;;Assyrian fire god.;Asia;Assyrian;Approved;1997;83;10.01.2006;
Io;ITZAMNA PATERA;IOPE1581S26082;Named formation;Complex crater;PE;ITZAMNA PATERA;Approuved by IAU in 2000;God;Mayan nation;Mayan;Not appliable;Not appliable;Not appliable;Not appliable;Mayan sun, sky, wind and rain god.;260.82;260°49';-15.81;-15°49';142.46;???;Io;2755;Itzamna Patera;Itzamna Patera;Patera, paterae;PE;142.46;-15.81;260.82;-13.56;-18.02;262.62;258.89;Planetographic  +East  0 - 360;;Mayan sun, sky, wind and rain god.;South and Central America;Mayan;Approved;2000;83;10.01.2006;
Io;IYNX MENSA;IOMN6228S5600;Named formation;Plateau with cliffs;MN;IYNX MENSA;Approuved by IAU in 1985;Hero;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Cast a spell on Zeus so he fell in love with Io.;56;56°0';-62.28;-62°17';116.97;???;Io;2771;Iynx Mensa;Iynx Mensa;Mensa, mensae;MN;116.97;-62.28;56;-60.96;-63.24;59.37;52.57;Planetographic  +East  0 - 360;;Cast a spell on Zeus so he fell in love with Io.;Europe;Greek;Approved;1985;19;04.09.2009;
Io;JANUS PATERA;IOPE456S32098;Named formation;Complex crater;PE;JANUS PATERA;Approuved by IAU in 1997;God;Italy;Italian;Not appliable;Not appliable;Not appliable;Not appliable;Italian sun god.;320.98;320°58';-4.56;-4°34';53.22;???;Io;2802;Janus Patera;Janus Patera;Patera, paterae;PE;53.22;-4.56;320.98;-3.79;-5.32;321.69;320.27;Planetographic  +East  0 - 360;;Italian sun god.;Europe;Italy;Approved;1997;83;10.01.2006;
Io;KAMI-NARI PATERA;IOPE882S12491;Named formation;Complex crater;PE;KAMI-NARI PATERA;Approuved by IAU in 2000;God;Japan;Japanese;Not appliable;Not appliable;Not appliable;Not appliable;Japanese god of rolling thunder.;124.91;124°54';-8.82;-8°49';36.22;???;Io;2907;Kami-Nari Patera;Kami Nari Patera;Patera, paterae;PE;36.22;-8.82;124.91;-8.29;-9.35;125.33;124.49;Planetographic  +East  0 - 360;;Japanese god of rolling thunder.;Asia;Japan;Approved;2000;1;10.01.2006;
Io;KANEHEKILI;IOER1746S32664;Named formation;Active volcanic center;ER;KANEHEKILI;Approuved by IAU in 1997;God;Hawaii;Hawaiian;Not appliable;Not appliable;Not appliable;Not appliable;Hawaiian thunder god.;326.64;326°38';-17.46;-17°28';0;???;Io;2915;Kanehekili;Kanehekili;Eruptive center;ER;0;-17.46;326.64;;;;;Planetographic  +East  0 - 360;;Hawaiian thunder god.;Oceania;Hawaii;Approved;1997;147;10.01.2006;
