BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info;;
Europe;BUTTERDON LINEA;EULI4470S35990;Formation nommée;Ligne allongée sombre ou brillante;LI;BUTTERDON LINEA;Approuvé par l'UAI en 2003;Endroit;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Alignement de pierre en Angleterre.;359,90;359°53';-44,70;-44°-42';1 900,00;???;Europa;937;Butterdon Linea;Butterdon Linea;Linea, lineae;LI;1 900,00;-44.7;359.9;-29.4;-41,00;315,00;44.8;Planetographic  +East  0 - 360;;Stone row in England.;Europe;Celtic;Approved;2003;142;10/01/2006;;;
Europe;CADMUS LINEA;EULI3870N16830;Formation nommée;Ligne allongée sombre ou brillante;LI;CADMUS LINEA;Approuvé par l'UAI en 1979;Humain;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Frère d'Europe.;168,30;168°18';38,70;38°42';3 548,00;???;Europa;955;Cadmus Linea;Cadmus Linea;Linea, lineae;LI;3 548,00;38.7;168.3;35.5;15.2;200.3;121.5;Planetographic  +East  0 - 360;;"Greek; brother of Europa.";Europe;Greek;Approved;1979;19;10/01/2006;;;
Europe;CALLANISH;EULG1670S2550;Formation nommée;Grande formation en forme d'anneau;LG;CALLANISH;Approuvé par l'UAI en 1997;Endroit;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Cercle de pierres dans les Iles Hébrides.;25,50;25°30';-16,70;-16°-42';107,00;???;Europa;974;Callanish;Callanish;Large ringed feature;LG;107,00;-16.7;25.5;-14.7;-18.6;27.4;23.6;Planetographic  +East  0 - 360;;Stone circle in the Outer Hebrides, Scotland.;Europe;Celtic;Approved;1997;142;10/01/2006;;;
Europe;CAMULUS;EUAA2650S27890;Formation nommée;Cratère;AA;CAMULUS;Approuvé par l'UAI en 2000;Dieu;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Dieu de la guerre gallois.;278,90;278°53';-26,50;-26°-30';4,50;4,5;Europa;993;Camulus;Camulus;Crater, craters;AA;4.5;-26.5;278.9;;;;;Planetographic  +East  0 - 360;;Gaelic war god.;Europe;Celtic;Approved;2000;128;10/01/2006;;;
Europe;CASTALIA MACULA;EUMA160S13430;Formation nommée;Tache sombre;MA;CASTALIA MACULA;Approuvé par l'UAI en 2003;Endroit;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Source où Cadmus, frère d'Europe, tua le dragon.;134,30;134°18';-1,60;-1°-36';35,00;???;Europa;1048;Castalia Macula;Castalia Macula;Macula, maculae;MA;35,00;-1.6;134.3;-0.9;-2.2;134.9;133.8;Planetographic  +East  0 - 360;;"Greek; spring where Cadmus, brother of Europa, killed the dragon.";Europe;Greek;Approved;2003;19;10/01/2006;;;
Europe;CHTHONIUS LINEA;EULI140S5580;Formation nommée;Ligne allongée sombre ou brillante;LI;CHTHONIUS LINEA;Approuvé par l'UAI en 1997;Humain;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Survivant humain que Cadmus recousut avec une dent du dragon, un des fondateur de Thèbes.;55,80;55°47';-1,40;-1°-24';2 180,00;???;Europa;1207;Chthonius Linea;Chthonius Linea;Linea, lineae;LI;2 180,00;-1.4;55.8;9,00;3.2;92.1;15.1;Planetographic  +East  0 - 360;;Survivor of the men Cadmus sowed with dragon's teeth, a founder of Thebes.;Europe;Greek;Approved;1997;19;10/01/2006;;;
Europe;CILICIA FLEXUS;EUFE5950S18830;Formation nommée;Crête basse et incurvée;FE;CILICIA FLEXUS;Approuvé par l'UAI en 1979;Endroit;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Terre nommée par Cilix pendant sa recherche d'Europe.;188,30;188°18';-59,50;-59°-30';1 312,00;???;Europa;1215;Cilicia Flexus;Cilicia Flexus;Flexus, flexÅ«s;FE;1 312,00;-59.5;188.3;-42.3;-61.4;221.5;147.2;Planetographic  +East  0 - 360;;Land named for Cilix on his search for Europa.;Europe;Greek;Approved;1979;19;10/01/2006;;;
Europe;CILIX;EUAA260N17810;Formation nommée;Cratère;AA;CILIX;Approuvé par l'UAI en 1985;Humain;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Frère d'Europe.;178,10;178°5';2,60;2°36';15,00;15;Europa;1216;Cilix;Cilix;Crater, craters;AA;15,00;2.6;178.1;2.8;2.4;178.3;177.8;Planetographic  +East  0 - 360;;Brother of Europa. Defines 182° longitude on Europa.;Europe;Greek;Approved;1985;19;01/04/2008;Defines 182 degrees longitude on Europa.;;
Europe;CLIODHNA;EUAA250S28360;Formation nommée;Cratère;AA;CLIODHNA;Approuvé par l'UAI en 2000;Déesse;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Déesse celte de la beauté qui s'endormit en écoutant de la musique et qui fut emporté par une grande vague.;283,60;283°36';-2,50;-2°-30';3,00;3;Europa;1246;Cliodhna;Cliodhna;Crater, craters;AA;3,00;-2.5;283.6;;;;;Planetographic  +East  0 - 360;;Celtic goddess of beauty who was lured asleep by music, then swept away by a great wave.;Europe;Celtic;Approved;2000;160;10/01/2006;;;
Europe;CONAMARA CHAOS;EUCH970N8730;Formation nommée;Région distincte de terrains brisés;CH;CONAMARA CHAOS;Approuvé par l'UAI en 1997;Endroit;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Partie accidenté de l'Irlande de l'Ouest nommée par Conmac, fils de la Reine de Connacht.;87,30;87°17';9,70;9°42';143,70;???;Europa;1282;Conamara Chaos;Conamara Chaos;Chaos, chaoses;CH;143.7;9.7;87.3;11.9;6.6;88.9;85.3;Planetographic  +East  0 - 360;;Rugged part of western Ireland named for Conmac, son of the Queen of Connacht.;Europe;Celtic;Approved;1997;142;10/01/2006;;;
Europe;CORICK LINEA;EULI1780N34170;Formation nommée;Ligne allongée sombre ou brillante;LI;CORICK LINEA;Approuvé par l'UAI en 2003;Endroit;Irlande;Irlandais;Non applicable;Non applicable;Non applicable;Non applicable;Alignement de pierres en Irlande.;341,70;341°41';17,80;17°48';1 300,00;???;Europa;1310;Corick Linea;Corick Linea;Linea, lineae;LI;1 300,00;17.8;341.7;24.6;10.4;360,00;314,00;Planetographic  +East  0 - 360;;Stone row in Ireland.;Europe;Ireland;Approved;2003;142;10/01/2006;;;
Europe;CORMAC;EUAA3690S27190;Formation nommée;Cratère;AA;CORMAC;Approuvé par l'UAI en 2000;Roi;Irlande;irlandais;Non applicable;Non applicable;Non applicable;Non applicable;Cormac Mac Art, Roi de l'Ulster dans les mythes irlandais.;271,90;271°53';-36,90;-36°-53';4,00;4;Europa;1314;Cormac;Cormac;Crater, craters;AA;4,00;-36.9;271.9;;;;;Planetographic  +East  0 - 360;;Cormac Mac Art, High King of Ulster in Irish myths.;Europe;Ireland;Approved;2000;160;10/01/2006;;;
Europe;CYCLADES MACULA;EUMA6250S16870;Formation nommée;Tache sombre;MA;CYCLADES MACULA;Approuvé par l'UAI en 1997;Endroit;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Iles sur lesquelles Radamanthys régnait.;168,70;168°41';-62,50;-62°-30';107,00;???;Europa;1361;Cyclades Macula;Cyclades Macula;Macula, maculae;MA;107,00;-62.5;168.7;-60.7;-64.1;170.4;165.8;Planetographic  +East  0 - 360;;Islands where Rhadamanthys reigned.;Europe;Greek;Approved;1997;1;10/01/2006;;;
Europe;DAGDA;EUAA3735N19126;Formation nommée;Cratère;AA;DAGDA;Approuvé par l'UAI en 2006;Divinité;Irlande;irlandais;Non applicable;Non applicable;Non applicable;Non applicable;Une des divinités dirigeantes du Thata de Danann dans la mythologie irlandaise.;191,26;191°15';37,35;37°21';9,80;9,8;Europa;6968;Dagda;Dagda;Crater, craters;AA;9.8;37.35;191.26;37.5;37.17;191.46;191.06;Planetographic  +East  0 - 360;;One of the chief deities of the Tuatha de Danann in Irish mythology.;Europe;Ireland;Approved;2006;83;10/01/2006;;;
Europe;DEIRDRE;EUAA6540S15270;Formation nommée;Cratère;AA;DEIRDRE;Approuvé par l'UAI en 2000;Humain;Irlande;irlandais;Non applicable;Non applicable;Non applicable;Non applicable;La plus belle femme des mythes irlandais.;152,70;152°41';-65,40;-65°-24';4,50;4,5;Europa;1461;Deirdre;Deirdre;Crater, craters;AA;4.5;-65.4;152.7;-65.3;-65.5;152.9;152.5;Planetographic  +East  0 - 360;;The most beautiful woman in Irish myths.;Europe;Ireland;Approved;2000;160;10/01/2006;;;
Europe;DELPHI FLEXUS;EUFE6820S18590;Formation nommée;Crête basse et incurvée;FE;DELPHI FLEXUS;Approuvé par l'UAI en 1985;Endroit;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Endroit où la vache quitta Cadmus avant qu'il ne stoppe à Thèbes.;185,90;185°54';-68,20;-68°-12';793,00;???;Europa;1476;Delphi Flexus;Delphi Flexus;Flexus, flexÅ«s;FE;793,00;-68.2;185.9;-62.6;-69.1;217.7;148.1;Planetographic  +East  0 - 360;;Where the cow led Cadmus before it stopped at the site of Thebes.;Europe;Greek;Approved;1985;19;10/01/2006;;;
Europe;DIARMUID;EUAA6130S25800;Formation nommée;Cratère;AA;DIARMUID;Approuvé par l'UAI en 2000;Humain;Irlande;irlandais;Non applicable;Non applicable;Non applicable;Non applicable;Guerrier mythologique irlandais, mari de Grainne.;258,00;258°0';-61,30;-61°-17';8,20;8,2;Europa;1526;Diarmuid;Diarmuid;Crater, craters;AA;8.2;-61.3;258,00;-61.2;-61.5;258.4;257.7;Planetographic  +East  0 - 360;;Handsome Irish mythological warrior, husband of GrÃ¡inne.;Europe;Ireland;Approved;2000;152;11/17/08;;;
Europe;DRIZZLECOMB LINEA;EULI770N24830;Formation nommée;Ligne allongée sombre ou brillante;LI;DRIZZLECOMB LINEA;Approuvé par l'UAI en 2003;Endroit;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Rangée de pierres en Angleterre.;248,30;248°18';7,70;7°42';1 500,00;???;Europa;1640;Drizzlecomb Linea;Drizzlecomb Linea;Linea, lineae;LI;1 500,00;7.7;248.3;24.5;-15,00;263,00;225.2;Planetographic  +East  0 - 360;;Stone row in England.;Europe;Celtic;Approved;2003;142;10/01/2006;;;
Europe;DRUMSKINNY LINEA;EULI4830N19900;Formation nommée;Ligne allongée sombre ou brillante;LI;DRUMSKINNY LINEA;Approuvé par l'UAI en 2003;Endroit;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Rangée de pierres en Irlande.;199,00;199°0';48,30;48°17';1 375,00;???;Europa;1643;Drumskinny Linea;Drumskinny Linea;Linea, lineae;LI;1 375,00;48.3;199,00;60.7;23.9;218.3;167.6;Planetographic  +East  0 - 360;;Stone row in Ireland.;Europe;Celtic;Approved;2003;142;10/01/2006;;;
Europe;DYFED REGIO;EURE1000N11000;Formation nommée;Grande région géographique;RE;DYFED REGIO;Approuvé par l'UAI le 11 Mai 2007;Endroit;Pays de Galle;gallois;Non applicable;Non applicable;Non applicable;Non applicable;Dans la mythologie galloise, Royaume au Sud Ouest du pays de Galles, juste à l'Est de Annwn et contenant un mystérieux domaine.;110,00;110°0';10,00;10°0';1 750,00;???;Europa;14293;Dyfed Regio;Dyfed Regio;Regio, regiones;RE;1 750,00;10,00;110,00;42,00;-22,00;135,00;78,00;Planetographic  +East  0 - 360;;In Welsh mythology, the southwestern kingdom of Wales just east of Annwn, containing a mysterious realm.  ;Europe;Wales;Approved;May 11, 2007;160;05/11/2007;;;
Europe;DYLAN;EUAA5530S27560;Formation nommée;Cratère;AA;DYLAN;Approuvé par l'UAI en 2000;Dieu;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Dieu de la mer celte.;275,60;275°36';-55,30;-55°-17';5,30;5,3;Europa;1683;Dylan;Dylan;Crater, craters;AA;5.3;-55.3;275.6;;;;;Planetographic  +East  0 - 360;;Celtic sea god.;Europe;Celtic;Approved;2000;83;10/01/2006;;;
Europe;ECHION LINEA;EULI1160S17480;Formation nommée;Ligne allongée sombre ou brillante;LI;ECHION LINEA;Approuvé par l'UAI en 1985;Humain;Grèce;grec;Non applicable;Non applicable;Non applicable;Non applicable;Survivant humain que Cadmus recousut avec une dent du dragon, un des fondateur de Thèbes.;174,80;174°48';-11,60;-11°-36';1 026,00;???;Europa;1708;Echion Linea;Echion Linea;Linea, lineae;LI;1 026,00;-11.6;174.8;-9.9;-16,00;195.3;158.4;Planetographic  +East  0 - 360;;"Survivor of the men Cadmus sowed with the dragon's teeth; a founder of Thebes.";Europe;Greek;Approved;1985;19;10/01/2006;;;
Europe;ELATHAN;EUAA3190S28020;Formation nommée;Cratère;AA;ELATHAN;Approuvé par l'UAI en 2000;Roi;Nation celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Roi celte, père de Bres, dieu du Soleil.;280,20;280°11';-31,90;-31°-53';2,50;2,5;Europa;1757;Elathan;Elathan;Crater, craters;AA;2.5;-31.9;280.2;;;;;Planetographic  +East  0 - 360;;Handsome Celtic king, father of sun god Bres.;Europe;Celtic;Approved;2000;83;10/01/2006;;;
