BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Mars;ACIDALIA MENSA;MAMN4703N33466;Named formation;Plateau surrounded with cliffs;MN;ACIDALIA MENSA;Approved by IAU on 2000;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;From classical albedo feature name.;334,66;334 ° 40 ' ;47,03;47 ° 2 '  North;mc04;226.86;???;Mars;37;Acidalia Mensa;Acidalia Mensa;Mensa, mensae;MN;226.86;47.03;334.66;49.02;45.37;337.03;331.81;Planetographic  +East  0 - 360;mc04;From classical albedo feature name.;Europe;Greek;Approved;2000;71;10/01/2006
Mars;ACIDALIA PLANITIA;MAPL5009N33926;Named formation;Low Plain;PL;ACIDALIA PLANITIA;Approved by IAU on 1973;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;From classical albedo feature at 44N, 21W.;339,26;339 ° 16 ' ;50,09;50 ° 5 '  North;mc04;3362.97;???;Mars;38;Acidalia Planitia;Acidalia Planitia;Planitia, planitiae;PL;3362.97;50.09;339.26;68.9;14.93;16.15;360,00;Planetographic  +East  0 - 360;mc04;From classical albedo feature at 44N, 21W.;Europe;Greek;Approved;1973;57;6/21/12
Mars;ADA;MAAA310S35678;Named formation;Crater;AA;ADA;Approved by IAU on Sep 14, 2006;Not appliable;U.S.A.;American;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Town in Oklahoma, USA.;356,78;356 ° 47 ' ;-3,10;3 ° 6 '  South;mc19;2,09;2,09;Mars;14182;Ada;Ada;Crater, craters;AA;2.09;-3.1;356.78;-3.08;-3.11;356.79;356.76;Planetographic  +East  0 - 360;mc19;Town in Oklahoma, USA.;North America;United States;Approved;Sep 14, 2006;74;11/17/10
Mars;ADAMAS LABYRINTHUS;MALB3602N10512;Named formation;Intersecting valleys and ridges;LB;ADAMAS LABYRINTHUS;Approved by IAU on 1982;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;"Classical albedo feature name; ""A River of Diamonds""; today's River Sarbarnarekha in India.";105,12;105 ° 7 ' ;36,02;36 ° 1 '  North;mc06;853,00;???;Mars;45;Adamas Labyrinthus;Adamas Labyrinthus;Labyrinthus, labyrinthi;LB;853,00;36.02;105.12;41.4;30.64;111.46;96.27;Planetographic  +East  0 - 360;mc06;"Classical albedo feature name; ""A River of Diamonds""; today's River Sarbarnarekha in India.";Europe;Greek;Approved;1982;57;10/01/2006
Mars;ADAMS;MAAA3121N16310;Named formation;Crater;AA;ADAMS Walter S.;Approved by IAU on 1973;Astronomer;U.S.A.;American;19;19th century;???;1876;???;1956;;163,10;163 ° 6 ' ;31,21;31 ° 13 '  North;mc07;90,22;90,22;Mars;46;Adams;Adams;Crater, craters;AA;90.22;31.21;163.1;31.98;30.45;163.99;162.22;Planetographic  +East  0 - 360;mc07;"Walter S.; American astronomer (1876-1956).";North America;American;Approved;1973;68;11/17/10
Mars;AEOLIS;MAAL500S14500;Named formation;Albedo feature;AL;AEOLIS;Approved by IAU on 1958;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Floating island where winds were kept in a cave.;145,00;145 ° 0 ' ;-5,00;4 ° 60 '  South;mc23;???;???;Mars;65;Aeolis;Aeolis;Formation à albédo;AL;0,00;-5,00;145,00;;;;;Planetographic  +East  0 - 360;mc23;Floating island where winds were kept in a cave.;Europe;Greek;Approved;1958;60;10/01/2006
Mars;AEOLIS DORSA;MADO511S15263;Named formation;Ridge;DO;AEOLIS DORSA;Approved by IAU on Jul 27, 2012;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo feature name.;152,63;152 ° 38 ' ;-5,11;5 ° 7 '  South;mc23;459.17;???;Mars;15019;Aeolis Dorsa;Aeolis Dorsa;Dorsum, dorsa;DO;459.17;-5.11;152.63;-1.04;-8.23;156.42;148.6;Planetographic  +East  0 - 360;mc23;Classical albedo feature name.;Europe;Greek;Approved;Jul 27, 2012;71;7/27/12
Mars;AEOLIS MENSAE;MAMN329S14063;Named formation;Plateau surrounded with cliffs;MN;AEOLIS MENSAE;Approved by IAU on 1976;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo feature name.;140,63;140 ° 38 ' ;-3,29;3 ° 17 '  South;mc23;785.09;???;Mars;66;Aeolis Mensae;Aeolis Mensae;Mensa, mensae;MN;785.09;-3.29;140.63;2.1;-6.64;146.95;135.33;Planetographic  +East  0 - 360;mc23;Classical albedo feature name.;Europe;Greek;Approved;1976;57;10/01/2006
Mars;AEOLIS MONS;MAMO514S13785;Named formation;Mountain;MO;AEOLIS MONS;Approved by IAU on May 16, 2012;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo feature name.;137,85;137 ° 51 ' ;-5,14;5 ° 8 '  South;mc23;88.99;???;Mars;15000;Aeolis Mons;Aeolis Mons;Mons, montes;MO;88.99;-5.14;137.85;-4.51;-5.68;138.62;137.11;Planetographic  +East  0 - 360;mc23;Classical albedo feature name.;Europe;Greek;Approved;May 16, 2012;71;5/16/12
Mars;AEOLIS PALUS;MAPA452S13742;Named formation;Small plain (Swamp);PA;AEOLIS PALUS;Approved by IAU on May 16, 2012;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Classical albedo feature name.;137,42;137 ° 25 ' ;-4,52;4 ° 31 '  South;mc23;111.63;???;Mars;15001;Aeolis Palus;Aeolis Palus;Palus, paludes;PA;111.63;-4.52;137.42;-4.23;-5.45;138.65;136.75;Planetographic  +East  0 - 360;mc23;Classical albedo feature name.;Europe;Greek;Approved;May 16, 2012;71;5/16/12
