BODY;NAME;P.U.N.;NAME TYPE;TYPE;TYPECODE;NAME DETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Callisto;OMOL ;CAAA4230N24310;Named formation;Crater;AA;OMOL ;Approuved by IAU in 1988;Spirit;Russia;Russian;Not appliable;Not appliable;Not appliable;Not appliable;Wood spirit.;243,10;243°5';42,30;42°17';60,40;60,40;Callisto;4460;Omol';Omol ;Crater, craters;AA;60.4;42.3;243.1;43,00;41.7;244,00;242.1;Planetographic  +East  0 - 360;;Komi wood spirit.;Europe;Russia;Approved;1988;64;12/30/08;
Callisto;ORESTHEUS;CAAA4670S31230;Named formation;Crater;AA;ORESTHEUS;Approuved by IAU in 1997;Semi-god;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Brother of Callisto.;312,30;312°18';-46,70;-46°42';22,50;22,50;Callisto;4488;Orestheus;Orestheus;Crater, craters;AA;22.5;-46.7;312.3;-46.5;-46.9;312.6;311.9;Planetographic  +East  0 - 360;;Brother of Callisto.;Europe;Greek;Approved;1997;19;10/01/2006;
Callisto;OSKI;CAAA5750N9100;Named formation;Crater;AA;OSKI;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Another name for Odin.;91,00;91°0';57,50;57°30';48,10;48,10;Callisto;4510;Oski;Oski;Crater, craters;AA;48.1;57.5;91,00;58,00;56.9;92.1;90,00;Planetographic  +East  0 - 360;;"Norse; a name for Odin.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;OTTAR;CAAA6150N25610;Named formation;Crater;AA;OTTAR;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Innsteinn's son and Freyja's favorite.;256,10;256°6';61,50;61°30';59,80;59,80;Callisto;4524;Ottar;Ottar;Crater, craters;AA;59.8;61.5;256.1;62.2;60.9;257.5;254.7;Planetographic  +East  0 - 360;;Innsteinn's son and Freyja's favorite.;Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;PEKKO;CAAA1830N35460;Named formation;Crater;AA;PEKKO;Approuved by IAU in 1979;God;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;God of barley.;354,60;354°36';18,30;18°18';62,00;62,00;Callisto;4636;Pekko;Pekko;Crater, craters;AA;62,00;18.3;354.6;18.9;17.5;355.3;353.8;Planetographic  +East  0 - 360;;Finno-Ugric god of barley.;Europe;Finland;Approved;1979;27;10/01/2006;
Callisto;RANDVER;CAAA7190S30610;Named formation;Crater;AA;RANDVER;Approuved by IAU in 1997;God;Norway;Norvegian;Not appliable;Not appliable;Not appliable;Not appliable;Ottar's ancestor.;306,10;306°6';-71,90;-71°54';28,00;28,00;Callisto;4945;Randver;Randver;Crater, craters;AA;28,00;-71.9;306.1;-71.6;-72.3;307,00;304.9;Planetographic  +East  0 - 360;;Ottar's ancestor.;Europe;Norway;Approved;1997;17;10/01/2006;
Callisto;REGINLEIF;CAAA6600S26350;Named formation;Crater;AA;REGINLEIF;Approuved by IAU in 1997;God;Norway;Norvegian;Not appliable;Not appliable;Not appliable;Not appliable;Servant of the gods.;263,50;263°30';-66,00;-66°0';54,80;54,80;Callisto;4977;Reginleif;Reginleif;Crater, craters;AA;54.8;-66,00;263.5;-65.4;-66.7;265,00;261.8;Planetographic  +East  0 - 360;;Servant of the gods.;Europe;Norway;Approved;1997;17;10/01/2006;
Callisto;REGINN;CAAA3980N26990;Named formation;Crater;AA;REGINN;Approuved by IAU in 1979;Hero;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Dwarf.;269,90;269°53';39,80;39°47';57,00;57,00;Callisto;4978;Reginn;Reginn;Crater, craters;AA;57,00;39.8;269.9;40.3;39.1;270.7;268.9;Planetographic  +East  0 - 360;;Norse dwarf.;Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;REIFNIR;CAAA5080S30570;Named formation;Crater;AA;REIFNIR;Approuved by IAU in 1997;God;Norway;Norvegian;Not appliable;Not appliable;Not appliable;Not appliable;Ottar's ancestor.;305,70;305°41';-50,80;-50°47';36,80;36,80;Callisto;4983;Reifnir;Reifnir;Crater, craters;AA;36.8;-50.8;305.7;-50.4;-51.2;306.5;305,00;Planetographic  +East  0 - 360;;Ottar's ancestor.;Europe;Norway;Approved;1997;17;10/01/2006;
Callisto;RIGR;CAAA7080N11540;Named formation;Crater;AA;RIGR;Approuved by IAU in 1979;God;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Another name for the god Heimdall.;115,40;115°24';70,80;70°47';72,50;72,50;Callisto;5033;Rigr;Rigr;Crater, craters;AA;72.5;70.8;115.4;71.5;69.9;117.9;113.2;Planetographic  +East  0 - 360;;"Norse; another name for the god Heimdall.";Europe;Norse;Approved;1979;17;10/01/2006;
Callisto;RONGOTEUS;CAAA5360N25390;Named formation;Crater;AA;RONGOTEUS;Approuved by IAU in 1988;Deity;Siberia;Karelian;Not appliable;Not appliable;Not appliable;Not appliable;Deity of the harvest of rye.;253,90;253°54';53,60;53°36';35,50;35,50;Callisto;5183;Rongoteus;Rongoteus;Crater, craters;AA;35.5;53.6;253.9;54,00;53.3;254.6;253.4;Planetographic  +East  0 - 360;;Karelian deity of the harvest of rye.;Europe;Karelia;Approved;1988;64;12/30/08;
Callisto;ROTA;CAAA2720N25160;Named formation;Crater;AA;ROTA;Approuved by IAU in 1988;Deity;Lapland;Saami;Not appliable;Not appliable;Not appliable;Not appliable;Deity of the underground world.;251,60;251°35';27,20;27°12';45,00;45,00;Callisto;5199;Rota;Rota;Crater, craters;AA;45,00;27.2;251.6;27.6;26.8;252.2;251,00;Planetographic  +East  0 - 360;;Deity of the underground world.;Europe;Lapp;Approved;1988;64;10/01/2006;
Callisto;SAGA;CAAA60N3410;Named formation;Crater;AA;SAGA;Approuved by IAU in 1979;Goddess;Scandinavia;Norse;Not appliable;Not appliable;Not appliable;Not appliable;Wife of Odin.;34,10;34°6';0,60;0°36';11,10;11,10;Callisto;5274;Saga;Saga;Crater, craters;AA;11.1;0.6;34.1;0.8;0.5;34.3;34,00;Planetographic  +East  0 - 360;;Scandinavian goddess, wife of Odin.;Europe;Scotland;Approved;1979;17;08/04/2009;
Callisto;SARAKKA;CAAA330S30650;Named formation;Crater;AA;SARAKKA;Approuved by IAU in 1979;Goddess;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;Goddess of childbirth.;306,50;306°30';-3,30;-3°18';47,70;47,70;Callisto;5322;Sarakka;Sarakka;Crater, craters;AA;47.7;-3.3;306.5;-2.9;-3.9;307,00;305.9;Planetographic  +East  0 - 360;;Finno-Ugric goddess of childbirth.;Europe;Finland;Approved;1979;27;10/01/2006;
Callisto;SEQINEK;CAAA5550N33460;Named formation;Crater;AA;SEQINEK;Approuved by IAU in 1979;God;Greenland;Eskimo;Not appliable;Not appliable;Not appliable;Not appliable;Another name of the sun.;334,60;334°36';55,50;55°30';80,70;80,70;Callisto;5435;Seqinek;Seqinek;Crater, craters;AA;80.7;55.5;334.6;56.5;54.6;336.3;333,00;Planetographic  +East  0 - 360;;"Eskimo; the sun.";North America;Eskimo;Approved;1979;26;10/01/2006;
Callisto;SHOLMO;CAAA5370N34380;Named formation;Crater;AA;SHOLMO;Approuved by IAU in 1979;God;Finland;Finnish;Not appliable;Not appliable;Not appliable;Not appliable;Heaven god.;343,80;343°48';53,70;53°42';57,00;57,00;Callisto;5497;Sholmo;Sholmo;Crater, craters;AA;57,00;53.7;343.8;54.4;53,00;344.8;342.6;Planetographic  +East  0 - 360;;Finno-Ugric heaven god.;Europe;Finland;Approved;1979;27;10/01/2006;
