BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info;;
Europa;ADONIS LINEA;EULI6100S23740;Named formation;Dark or bright elongate marking;LI;ADONIS LINEA;Approuved by IAU in 1979;God;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;"Greek; son of Phoenix, nephew of Europa.";237,40;237°24';-61,00;-61°0';1 560,00;???;Europa;56;Adonis Linea;Adonis Linea;Linea, lineae;LI;1 560,00;-61,00;237.4;-28.6;-82.3;228.8;211.6;Planetographic  +East  0 - 360;;"Greek; son of Phoenix, nephew of Europa.";Europe;Greek;Approved;1979;19;10/01/2006;;;
Europa;AGAVE LINEA;EULI1280N8690;Named formation;Dark or bright elongate marking;LI;AGAVE LINEA;Approuved by IAU in 1997;Goddess;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Daughter of Harmonia and Cadmus.;86,90;86°54';12,80;12°48';1 440,00;???;Europa;83;Agave Linea;Agave Linea;Linea, lineae;LI;1 440,00;12.8;86.9;33.5;-10.1;103.2;73.1;Planetographic  +East  0 - 360;;Daughter of Harmonia and Cadmus.;Europe;Greek;Approved;1997;1;10/01/2006;;;
Europa;AGENOR LINEA;EULI4380S14650;Named formation;Dark or bright elongate marking;LI;AGENOR LINEA;Approuved by IAU in 1979;God;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;"Greek; Europa's father.";146,50;146°30';-43,80;-43°-47';1 496,00;???;Europa;84;Agenor Linea;Agenor Linea;Linea, lineae;LI;1 496,00;-43.8;146.5;-37.1;-41.8;181.4;111.6;Planetographic  +East  0 - 360;;"Greek; Europa's father.";Europe;Greek;Approved;1979;19;10/01/2006;;;
Europa;AINE;EUAA4300S18250;Named formation;Crater;AA;AINE;Approuved by IAU in 2000;Goddess;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Celtic goddess of love and fertility.;182,50;182°30';-43,00;-43°0';5,00;5,00;Europa;6934;Ãine;Aine;Crater, craters;AA;5,00;-43,00;182.5;;;;;Planetographic  +East  0 - 360;;Celtic goddess of love and fertility.;Europe;Celtic;Approved;2000;160;11/17/08;;;
Europa;ALPHESIBOEA LINEA;EULI2510S18410;Named formation;Dark or bright elongate marking;LI;ALPHESIBOEA LINEA;Approuved by IAU in 1985;God;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Son of Phoenix, nephew of Europa.;184,10;184°5';-25,10;-25°-6';1 438,00;???;Europa;204;Alphesiboea Linea;Alphesiboea Linea;Linea, lineae;LI;1 438,00;-25.1;184.1;-17.3;-36,00;193.2;158.6;Planetographic  +East  0 - 360;;Son of Phoenix, nephew of Europa.;Europe;Greek;Approved;1985;19;10/01/2006;;;
Europa;AMAETHON;EUAA1382N18253;Named formation;Crater;AA;AMAETHON;Approuved by IAU in 2006;God;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Celtic god of agriculture.;182,53;182°31';13,82;13°49';1,70;1,70;Europa;6966;Amaethon;Amaethon;Crater, craters;AA;1.7;13.82;182.53;13.86;13.77;182.61;182.46;Planetographic  +East  0 - 360;;Celtic god of agriculture.;Europe;Celtic;Approved;2006;128;10/01/2006;;;
Europa;AMERGIN;EUAA1470S12940;Named formation;Crater;AA;AMERGIN;Approuved by IAU in 2000;Poet;Ireland;Irish;Not appliable;Not appliable;Not appliable;Not appliable;Legendary Irish druid and poet.;129,40;129°24';-14,70;-14°-42';17,00;17;Europa;230;Amergin;Amergin;Crater, craters;AA;17,00;-14.7;129.4;-14.3;-15,00;129.8;129.1;Planetographic  +East  0 - 360;;Legendary Irish druid and poet.;Europe;Ireland;Approved;2000;152;10/01/2006;;;
Europa;ANDROGEOS LINEA;EULI1170N8070;Named formation;Dark or bright elongate marking;LI;ANDROGEOS LINEA;Approuved by IAU in 2000;Hero;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Son of Minos in Greek mythology.;80,70;80°42';11,70;11°42';723,00;???;Europa;264;Androgeos Linea;Androgeos Linea;Linea, lineae;LI;723,00;11.7;80.7;18.6;3,00;92.3;71.8;Planetographic  +East  0 - 360;;Son of Minos in Greek mythology.;Europe;Greek;Approved;2000;27;10/01/2006;;;
Europa;ANGUS;EUAA1260S28490;Named formation;Crater;AA;ANGUS;Approuved by IAU in 2000;God;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Beautiful Celtic god of love.;284,90;284°53';-12,60;-12°-36';4,50;4,5;Europa;274;Angus;Angus;Crater, craters;AA;4.5;-12.6;284.9;;;;;Planetographic  +East  0 - 360;;Beautiful Celtic god of love.;Europe;Celtic;Approved;2000;160;10/01/2006;;;
Europa;ANNWN REGIO;EURE2000N4000;Named formation;Broad geographic region;RE;ANNWN REGIO;Approuved by IAU in May 11, 2007;Place;Wales;Welsh;Not appliable;Not appliable;Not appliable;Not appliable;Traditional name of the Welsh Otherworld where sparkling wine is the normal beverage, and age and sickness are unknown.;40,00;40°0';20,00;20°0';2 300,00;???;Europa;14291;Annwn Regio;Annwn Regio;Regio, regiones;RE;2 300,00;20,00;40,00;55,00;-25,00;80,00;360,00;Planetographic  +East  0 - 360;;Traditional name of the Welsh Otherworld where sparkling wine is the normal beverage, and age and sickness are unknown.;Europe;Wales;Approved;May 11, 2007;160;05/11/2007;;;
Europa;ARGADNEL REGIO;EURE1460S15150;Named formation;Broad geographic region;RE;ARGADNEL REGIO;Approuved by IAU in 2003;Place;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;In Celtic mythology, one of the islands of Earthly paradise seen during Bran's voyage.;151,50;151°30';-14,60;-14°-36';1 900,00;???;Europa;361;Argadnel Regio;Argadnel Regio;Regio, regiones;RE;1 900,00;-14.6;151.5;5,00;-36,00;190,00;117,00;Planetographic  +East  0 - 360;;In Celtic mythology, one of the islands of Earthly paradise seen during Bran's voyage.;Europe;Celtic;Approved;2003;160;03/08/2007;;;
Europa;ARGIOPE LINEA;EULI170S16440;Named formation;Dark or bright elongate marking;LI;ARGIOPE LINEA;Approuved by IAU in 1979;Goddess;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;"Greek; another name for Telephassa.";164,40;164°24';-1,70;-1°-42';689,00;???;Europa;367;Argiope Linea;Argiope Linea;Linea, lineae;LI;689,00;-1.7;164.4;1,00;-8.6;176.5;155.2;Planetographic  +East  0 - 360;;"Greek; another name for Telephassa.";Europe;Greek;Approved;1979;19;10/01/2006;;;
Europa;ARRAN CHAOS;EUCH1340N27950;Named formation;Distinctive area of broken terrain;CH;ARRAN CHAOS;Approuved by IAU in Aug 23, 2007;Place;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Island where ManannÃ¡n had a palace.;279,50;279°30';13,40;13°24';26,00;???;Europa;14303;Arran Chaos;Arran Chaos;Chaos, chaoses;CH;26,00;13.4;279.5;14,00;12.8;280,00;279,00;Planetographic  +East  0 - 360;;Island where ManannÃ¡n had a palace.;Europe;Celtic;Approved;Aug 23, 2007;128;11/17/08;;;
Europa;ASTERIUS LINEA;EULI1490N8920;Named formation;Dark or bright elongate marking;LI;ASTERIUS LINEA;Approuved by IAU in 1979;God;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;"Greek; Europa's husband after Zeus.";89,20;89°12';14,90;14°54';1 943,00;???;Europa;438;Asterius Linea;Asterius Linea;Linea, lineae;LI;1 943,00;14.9;89.2;34.8;-13.8;117.4;61.7;Planetographic  +East  0 - 360;;"Greek; Europa's husband after Zeus.";Europe;Greek;Approved;1979;19;10/01/2006;;;
Europa;ASTYPALAEA LINEA;EULI7580S14790;Named formation;Dark or bright elongate marking;LI;ASTYPALAEA LINEA;Approuved by IAU in 1997;Human;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Sister of Europa.;147,90;147°54';-75,80;-75°-47';817,00;???;Europa;443;Astypalaea Linea;Astypalaea Linea;Linea, lineae;LI;817,00;-75.8;147.9;-64.2;-75.7;166,00;76.1;Planetographic  +East  0 - 360;;Sister of Europa.;Europe;Greek;Approved;1997;1;10/01/2006;;;
Europa;AUTONOE LINEA;EULI1820N19490;Named formation;Dark or bright elongate marking;LI;AUTONOE LINEA;Approuved by IAU in 2000;Human;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Daughter of Harmonia and Cadmus in Greek mythology.;194,90;194°54';18,20;18°12';760,00;???;Europa;494;AutonoÃ« Linea;Autonoe Linea;Linea, lineae;LI;760,00;18.2;194.9;28.6;5,00;204.1;189.9;Planetographic  +East  0 - 360;;Daughter of Harmonia and Cadmus in Greek mythology.;Europe;Greek;Approved;2000;1;11/17/08;;;
Europa;AVAGDDU;EUAA140N19050;Named formation;Crater;AA;AVAGDDU;Approuved by IAU in 2000;Deity;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Celtic storm deity, ill-fated son of Tegid the Bald.;190,50;190°30';1,40;1°24';10,00;10;Europa;499;Avagddu;Avagddu;Crater, craters;AA;10,00;1.4;190.5;1.6;1.2;190.6;190.3;Planetographic  +East  0 - 360;;Celtic storm deity, ill-fated son of Tegid the Bald.;Europe;Celtic;Approved;2000;83;10/01/2006;;;
Europa;BALGATAN REGIO;EURE5000S33000;Named formation;Broad geographic region;RE;BALGATAN REGIO;Approuved by IAU in May 11, 2007;Place;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;In Celtic mythology, pass to which the Tuatha DÃ© Dannan retreated before the battle with the Fir Bolgs.;330,00;330°0';-50,00;-50°0';2 500,00;???;Europa;14292;Balgatan Regio;Balgatan Regio;Regio, regiones;RE;2 500,00;-50,00;330,00;-15,00;-77,00;240,00;60,00;Planetographic  +East  0 - 360;;In Celtic mythology, pass to which the Tuatha DÃ© Dannan retreated before the battle with the Fir Bolgs.;Europe;Celtic;Approved;May 11, 2007;128;11/17/08;;;
Europa;BALOR;EUAA5280S26220;Named formation;Crater;AA;BALOR;Approuved by IAU in 2000;God;Celtic nation;Celtic;Not appliable;Not appliable;Not appliable;Not appliable;Celtic god of the night whose evil eye caused the death of those on whom it glanced.;262,20;262°11';-52,80;-52°-47';4,80;4,8;Europa;581;Balor;Balor;Crater, craters;AA;4.8;-52.8;262.2;;;;;Planetographic  +East  0 - 360;;Celtic god of the night whose evil eye caused the death of those on whom it glanced.;Europe;Celtic;Approved;2000;83;10/01/2006;;;
Europa;BELUS LINEA;EULI930N12860;Named formation;Dark or bright elongate marking;LI;BELUS LINEA;Approuved by IAU in 1979;Human;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;"Greek; Agenor's twin brother.";128,60;128°35';9,30;9°18';2 437,00;???;Europa;681;Belus Linea;Belus Linea;Linea, lineae;LI;2 437,00;9.3;128.6;24.3;-4.9;168,00;84.1;Planetographic  +East  0 - 360;;"Greek; Agenor's twin brother.";Europe;Greek;Approved;1979;19;10/01/2006;;;
Europa;BOEOTIA MACULA;EUMA5360S19320;Named formation;Dark spot;MA;BOEOTIA MACULA;Approuved by IAU in 1997;Place;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Place where Cadmus led cow before it stopped at site of Thebes.;193,20;193°11';-53,60;-53°-36';30,00;???;Europa;792;Boeotia Macula;Boeotia Macula;Macula, maculae;MA;30,00;-53.6;193.2;-53.1;-54.3;193.8;192.5;Planetographic  +East  0 - 360;;Place where Cadmus led cow before it stopped at site of Thebes.;Europe;Greek;Approved;1997;19;10/01/2006;;;
