BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Vénus;SIRONA DORSA;VEDO4350S19350;Formation nommée;Crête;DO;SIRONA DORSA;Approuvé par l'UAI en 1997;Non applicable;Peuple celte;celte;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse celtique du ciel.;193.5;193 ° 30 ' ;-43.5;43 ° 30 '  Sud;v50;700;;Venus;5576;Sirona Dorsa;Sirona Dorsa;Dorsum, dorsa;DO;700;-43.5;193.5;;;;;Planetographic  +East  0 - 360;v50;Celtic sky goddess.;Europe;Celtic;Approved;1997;111;10.01.2006
Vénus;SITAPI CORONAE;VECR3650S24680;Formation nommée;Formation ovoïde;CR;SITAPI CORONAE;Approuvé par l'UAI en 2006;Non applicable;Indonésie;indonésien(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse indonésienne de la Terre, la nature et la création.;246.8;246 ° 12 ' ;-36.5;36 ° 30 '  Sud;v52;270;;Venus;5583;Sitapi Coronae;Sitapi Coronae;Corona, coronae;CR;270;-36.5;246.8;-35.5;-37.2;248.4;245.3;Planetographic  +East  0 - 360;v52;Indonesian earth, nature, and creator goddess.;Asia;Indonesia;Approved;2006;127;10.01.2006
Vénus;SITH CORONA;VECR1020S17650;Formation nommée;Formation ovoïde;CR;SITH CORONA;Approuvé par l'UAI en 1994;Non applicable;Peuple viking;viking;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse nordique des moissons.;176.5;176 ° 30 ' ;-10.2;10 ° 12 '  Sud;v37;350;;Venus;5584;Sith Corona;Sith Corona;Corona, coronae;CR;350;-10.2;176.5;;;;;Planetographic  +East  0 - 360;v37;Norse harvest goddess.;Europe;Norse;Approved;1994;83;10.01.2006
Vénus;SITWELL;VEAA1660N19040;Formation nommée;Cratère;AA;Edith SITWELL;Approuvé par l'UAI en 1994;Poète;Angleterre;anglais(e );20;20 ème siècle;;1887;;1964;Critique littéraire.;190.4;190 ° 36 ' ;16.6;16 ° 36 '  Nord;v26;32.8;32.8;Venus;5587;Sitwell;Sitwell;Crater, craters;AA;32.8;16.6;190.4;;;;;Planetographic  +East  0 - 360;v26;Edith. English poet, critic (1887-1964).;Europe;England;Approved;1994;99;10.01.2006
Vénus;SKADI MONS;VEMO6400N400;Formation nommée;Montagne;MO;SKADI MONS;Approuvé par l'UAI en 1994;Non applicable;Peuple viking;viking;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse nordique des montagnes.;4;4 ° 0 ' ;64;64 ° 0 '  Nord;v02;40;;Venus;5590;Skadi Mons;Skadi Mons;Mons, montes;MO;40;64;4;;;;;Planetographic  +East  0 - 360;v02;Norse mountain goddess.;Europe;Norse;Approved;1994;111;10.01.2006
Vénus;SNEGUROCHKA PLANITIA;VEPL8660N32800;Formation nommée;Plaine basse;PL;SNEGUROCHKA PLANITIA;Approuvé par l'UAI en 1985;Non applicable;Russie;russe;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Demoiselle de la neige dans les contes folkloriques russes.;328;328 ° 0 ' ;86.6;86 ° 36 '  Nord;v01;2775;;Venus;5608;Snegurochka Planitia;Snegurochka Planitia;Planitia, planitiae;PL;2775;86.6;328;80;76.5;217;57.2;Planetographic  +East  0 - 360;v01;Snow maiden in Russian folktales, melted in spring.;Europe;Russia;Approved;1985;64;12/30/08
Vénus;SNOTRA TESSERAE;VETE2400N13400;Formation nommée;Terrain polygonal;TE;SNOTRA TESSERAE;Approuvé par l'UAI en 1997;Non applicable;Scandinavie;scandinave;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse scandinave de la sagesse.;134;134 ° 0 ' ;24;24 ° 0 '  Nord;v24;1000;;Venus;5612;Snotra Tesserae;Snotra Tesserae;Tessera, tesserae;TE;1000;24;134;;;;;Planetographic  +East  0 - 360;v24;Scandinavian goddess of wisdom.;Europe;Scandinavian;Approved;1997;107;10.01.2006
Vénus;SOBRA FLUCTUS;VEFL600N24800;Formation nommée;Terrain avec écoulement;FL;SOBRA FLUCTUS;Approuvé par l'UAI en 1997;Non applicable;Mélanésie;mélanésien(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse créatrice en Nouvelle Guinée.;248;248 ° 0 ' ;6;6 ° 0 '  Nord;v28;700;;Venus;5616;Sobra Fluctus;Sobra Fluctus;Fluctus, fluctÅ«s;FL;700;6;248;;;;;Planetographic  +East  0 - 360;v28;Marindanim (New Guinea and Melanesia) creator goddess.;Oceania;Melanesia;Approved;1997;107;10.01.2006
Vénus;SOGBO DORSA;VEDO4000S23700;Formation nommée;Crête;DO;SOGBO DORSA;Approuvé par l'UAI en 1997;Non applicable;Bénin;béninois(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Déesse du tonnère chez les Fons.;237;237 ° 0 ' ;-40;40 ° 0 '  Sud;v51;900;;Venus;5618;Sogbo Dorsa;Sogbo Dorsa;Dorsum, dorsa;DO;900;-40;237;;;;;Planetographic  +East  0 - 360;v51;Fon (Benin) thunder goddess/god.;Africa;Benin;Approved;1997;107;10.01.2006
Vénus;SOGOLON PLANITIA;VEPL800N10700;Formation nommée;Plaine basse;PL;SOGOLON PLANITIA;Approuvé par l'UAI en 1997;Non applicable;Mali;malien(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Héroïne épique malienne prenant la forme d'un buffle et mère d'un géant.;107;107 ° 0 ' ;8;8 ° 0 '  Nord;v23;1600;;Venus;5619;Sogolon Planitia;Sogolon Planitia;Planitia, planitiae;PL;1600;8;107;;;;;Planetographic  +East  0 - 360;v23;Mandingo (Mali) epic heroine, buffalo-woman, mother of giant.;Africa;Mali;Approved;1997;107;10.01.2006
