BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;PUN;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Mercure;ALENCAR;MEAA6363S25623;Formation nommée;Cratère;AA;Jose de ALENCAR;Approuvé par l'UAI en 1979;Romancier;Brésil;brésilien(ne);19;19 ème siècle;???;1829;???;1877;???;256.23;103 ° 46 '  O;-63.63;64 ° 38 ' S;H-12;105.95;105.95;64;64;Mercury;176;Alencar;Alencar;Crater, craters;AA;105.95;-63.63;256.23;-62.38;-64.87;259.04;253.43;MAA6363S25623;Planetographic  +East  0 - 360;H-12;Jose de. Brazilian novelist (1829-1877).;South and Central America;Brazil;Approved;1979;59;03.07.2011;
Mercure;AMARAL;MEAA2654S11780;Formation nommée;Cratère;AA;Tarsila do AMARAL;Approuvé par l'UAI en Nov 20, 2008;Peintre;Brésil;brésilien(ne);20;20 ème siècle;???;1886;???;1973;???;117.8;117 ° 12 '  E;-26.54;27 ° 32 ' S;H-13;108.52;108.52;65;65;Mercury;14506;Amaral;Amaral;Crater, craters;AA;108.52;-26.54;117.8;-25.26;-27.81;119.22;116.37;MAA2654S11780;Planetographic  +East  0 - 360;H-13;Tarsila do. Brazilian painter (1886-1973).;South and Central America;Brazil;Approved;Nov 20, 2008;210;03.07.2011;
Mercure;AMRU AL QAYS;MEAA1237N18399;Formation nommée;Cratère;AA;AMRU AL QAYS;Approuvé par l'UAI en 1976;Poète;Arabie;arabe;??;???;???;???;???;???;???;183.99;176 ° 1 '  O;12.37;12 ° 38 ' N;H-08;47.02;47.02;28;28;Mercury;244;Amru Al-Qays;Amru Al Qays;Crater, craters;AA;47.02;12.37;183.99;12.93;11.82;184.56;183.43;MAA1237N18399;Planetographic  +East  0 - 360;H-08;Arab poet (pre-Islamic).;Asia;Arabian;Approved;1976;80;03.07.2011;
Mercure;ANDAL;MEAA4748S32237;Formation nommée;Cratère;AA;ANDAL;Approuvé par l'UAI en 1976;Ecrivain;Inde;hindou(e );10;10 ème siècle;???;???;???;???;???;322.37;37 ° 38 '  O;-47.48;48 ° 29 ' S;H-11;108.55;108.55;65;65;Mercury;257;Andal;Andal;Crater, craters;AA;108.55;-47.48;322.37;-46.2;-48.75;324.26;320.48;MAA4748S32237;Planetographic  +East  0 - 360;H-11;10th century Tamil (South Indian) writer.;Asia;India;Approved;1976;80;03.07.2011;
Mercure;ANTONIADI DORSUM;MEDO2720N33035;Formation nommée;Crête;DO;Eugene M. ANTONIADI DORSUM;Approuvé par l'UAI en 1976;Astronome;Italie;italien(ne);20;20 ème siècle;???;1870;???;1944;???;330.35;29 ° 39 '  O;27.2;27 ° 48 ' N;H-02;359.4;??;217;??;Mercury;298;Antoniadi Dorsum;Antoniadi Dorsum;Dorsum, dorsa;DO;359.4;27.2;330.35;30.97;23.24;330.38;328.5;MDO2720N33035;Planetographic  +East  0 - 360;H-02;Eugene M.. Greco-French astronomer, defined classical nomenclature for albedo features of Mars (1870-1944).;Europe;Italy;Approved;1976;80;03.07.2011;
Mercure;APOLLODORUS;MEAA3051N16335;Formation nommée;Cratère;AA;Apollodorus of Damascus APOLLODORUS;Approuvé par l'UAI en Apr 8, 2008;Architecte;Grèce;grec(que);2;2 ème siècle;???;???;???;???;;163.35;163 ° 39 '  E;30.51;30 ° 29 ' N;H-04;41.51;41.51;25;25;Mercury;14397;Apollodorus;Apollodorus;Crater, craters;AA;41.51;30.51;163.35;30.99;30.02;163.92;162.79;MAA3051N16335;Planetographic  +East  0 - 360;H-04;Apollodorus of Damascus. Greek architect (2nd century AD).;Europe;Greek;Approved;Apr 8, 2008;75;03.07.2011;Some sources credit Apollodorus as being the architect of the Pantheon.
Mercure;APOLLONIA;MEAL4500N4500;Formation nommée;Formation à albédo;AL;APOLLONIA;Approuvé par l'UAI en 1976;Non applicable;Rome antique;romain(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Nom de formation à albédo dans la région H-5.;45;45 ° 0 '  E;45;45 ° 0 ' N;H-05;??;??;??;??;Mercury;327;Apollonia;Apollonia;Albedo Feature;AL;0;45;45;;;;;MAL4500N4500;Planetographic  +East  0 - 360;H-05;Albedo name for unimaged H-5 region.;Europe;Roman;Approved;1976;60;03.07.2011;
Mercure;ARECIBO VALLIS;MEVA2779S33184;Formation nommée;Vallée;VA;ARECIBO VALLIS;Approuvé par l'UAI en 1976;Radio télescope;Porto Rico;Portoricain(ne);Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Radio télescope à Porto Rico.;331.84;28 ° 10 '  O;-27.79;28 ° 47 ' S;H-11;134.19;??;81;??;Mercury;355;Arecibo Vallis;Arecibo Vallis;Vallis, valles;VA;134.19;-27.79;331.84;-26.73;-28.73;333.17;330.45;MVA2779S33184;Planetographic  +East  0 - 360;H-11;Radio telescope in Puerto Rico.;South and Central America;Puerto Rico;Approved;1976;59;3/13/12;
Mercure;ARISTOXENUS;MEAA8444N34005;Formation nommée;Cratère;AA;ARISTOXENUS;Approuvé par l'UAI en 1979;Musicien;Grèce;grec(que);-5;5 ème siècle av J.C.;???;tury;???;B.C.;???;340.05;19 ° 57 '  O;84.44;84 ° 34 ' N;H-01;52.14;52.14;31;31;Mercury;383;Aristoxenus;Aristoxenus;Crater, craters;AA;52.14;84.44;340.05;85.05;83.82;346.38;333.72;MAA8444N34005;Planetographic  +East  0 - 360;H-01;Greek philosopher and musical theorist (fl. 4th century B.C.).;Europe;Greek;Approved;1979;59;03.07.2011;
Mercure;ASTROLABE RUPES;MERU4252S28921;Formation nommée;Escarpement;RU;ASTROLABE RUPES;Approuvé par l'UAI en 1976;Navire;France;français(e );Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Navire de Dumont d'Urville lors de son expédition vers l'Antarctique, 1838-40.;289.21;70 ° 47 '  O;-42.52;43 ° 31 ' S;H-11;251;??;151;??;Mercury;442;Astrolabe Rupes;Astrolabe Rupes;Rupes, rupÄ"s;RU;251;-42.52;289.21;-39.74;-45.43;290.27;288.76;MRU4252S28921;Planetographic  +East  0 - 360;H-11;French. d'Urville's ship to explore Antarctica, 1838-40.;Europe;France;Approved;1976;80;03.07.2011;
