BODY;NAME;TYPECODE;LONGIN;LATIN;LENGTHKM;Feature_ID;Feature_Name;Clean_Feature_Name;Target;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Continent;Ethnicity;Feature_Type;Feature_Type_Code;Quad;Approval_Status;Approval_Date;Reference;Origin;Additional_Info;Last_Updated
Venus;Abe Mango Dorsa;DO;212;47;800;11;Abe Mango Dorsa;Abe Mango Dorsa;Venus;800;47;212;47;47;212;212;Planetocentric  +East  0 - 360;South and Central America;Brazil;Dorsum, dorsa;DO;v15;Approved;1997;107;Tukano (Brazil) daughter of sun god.;;10/1/06
Venus;Abeona Mons;MO;273.1;-44.8;375;15;Abeona Mons;Abeona Mons;Venus;375;-44.8;273.1;-44.8;-44.8;273.1;273.1;Planetocentric  +East  0 - 360;Europe;Roman;Mons, montes;MO;v53;Approved;1997;83;Roman goddess of travelers.;;10/1/06
Venus;Abigail;AA;111.2;-52.2;18.4;17;Abigail;Abigail;Venus;18.4;-52.2;111.2;-52.2;-52.2;111.2;111.2;Planetocentric  +East  0 - 360;Asia;Hebrew;Crater, craters;AA;v57;Approved;1994;82;First name from Hebrew.;;10/1/06
Venus;Abika;AA;104.4;-52.5;14.5;18;Abika;Abika;Venus;14.5;-52.5;104.4;-52.5;-52.5;104.4;104.4;Planetocentric  +East  0 - 360;Europe;Russia;Crater, craters;AA;v57;Approved;1994;107;Mari first name.;;12/30/08
Venus;Abington;AA;277.7;-47.8;21.7;19;Abington;Abington;Venus;21.7;-47.8;277.7;-47.8;-47.8;277.7;277.7;Planetocentric  +East  0 - 360;Europe;England;Crater, craters;AA;v53;Approved;1994;99;Frances. English actress (1737-1815).;;10/1/06
Venus;Abra;AA;97.4;6.2;7.2;20;Abra;Abra;Venus;7.2;6.2;97.4;6.2;6.2;97.4;97.4;Planetocentric  +East  0 - 360;Africa;Ghana;Crater, craters;AA;v23;Approved;1997;107;Ewe first name.;;10/1/06
Venus;Abundia Corona;CR;125;18.5;250;24;Abundia Corona;Abundia Corona;Venus;250;18.5;125;18.5;18.5;125;125;Planetocentric  +East  0 - 360;Europe;Norse;Corona, coronae;CR;v24;Approved;1994;27;Norse goddess of giving.;;10/1/06
Venus;Achall Corona;CR;259.6;-31.2;265;30;Achall Corona;Achall Corona;Venus;265;-31.2;259.6;-29.9;-32.5;261.2;258.1;Planetocentric  +East  0 - 360;Europe;Celtic;Corona, coronae;CR;v52;Approved;2006;127;Celtic earth and nature goddess.;;10/1/06
Venus;Achek Dorsa;DO;230;-37.2;1000;32;Achek Dorsa;Achek Dorsa;Venus;1000;-37.2;230;-37.2;-37.2;230;230;Planetocentric  +East  0 - 360;Africa;Sudan;Dorsum, dorsa;DO;v51;Approved;1997;107;Dinka (Sudan) wife of rain god Deng.;;10/1/06
Venus;Acrea Corona;CR;243.7;24.2;200;41;Acrea Corona;Acrea Corona;Venus;200;24.2;243.7;25;23.2;245.4;242.3;Planetocentric  +East  0 - 360;Europe;Greek;Corona, coronae;CR;v28;Approved;2003;83;Greek resplendent mother goddess.;;10/1/06
Venus;Adaiah;AA;253.4;-47.3;18;43;Adaiah;Adaiah;Venus;18;-47.3;253.4;-47.3;-47.3;253.4;253.4;Planetocentric  +East  0 - 360;Asia;Hebrew;Crater, craters;AA;v52;Approved;1994;83;Hebrew first name.;;10/1/06
Venus;Adamson;AA;29.6;-14.8;27.2;48;Adamson;Adamson;Venus;27.2;-14.8;29.6;-14.8;-14.8;29.6;29.6;Planetocentric  +East  0 - 360;Europe;Austria;Crater, craters;AA;v32;Approved;1994;99;Joy. Austrian author, animal expert (1910-1980).;;10/1/06
Venus;Addams;AA;98.9;-56.2;87;50;Addams;Addams;Venus;87;-56.2;98.9;-56.2;-56.2;98.9;98.9;Planetocentric  +East  0 - 360;North America;American;Crater, craters;AA;v57;Approved;1994;99;Jane. American social reformer (1860-1935).;;10/1/06
Venus;Aditi Dorsa;DO;189;-30;1200;51;Aditi Dorsa;Aditi Dorsa;Venus;1200;-30;189;-30;-30;189;189;Planetocentric  +East  0 - 360;Asia;India;Dorsum, dorsa;DO;v50;Approved;1997;1;Indian sky goddess.;;10/1/06
Venus;Adivar;AA;76.2;8.9;30.3;52;Adivar;Adivar;Venus;30.3;8.9;76.2;8.9;8.9;76.2;76.2;Planetocentric  +East  0 - 360;Asia;Turkey;Crater, craters;AA;v22;Approved;1991;99;Halide. Turkish educator, author (1883-1964).;;10/1/06
Venus;Adrasthea Tesserae;TE;55;30;750;57;Adrasthea Tesserae;Adrasthea Tesserae;Venus;750;30;55;30;30;55;55;Planetocentric  +East  0 - 360;Europe;Greek;Tessera, tesserae;TE;v09;Approved;1997;107;Greek goddess of law.;;10/1/06
Venus;Adzoba;AA;117;12.8;10;61;Adzoba;Adzoba;Venus;10;12.8;117;12.8;12.8;117;117;Planetocentric  +East  0 - 360;Africa;Ghana;Crater, craters;AA;v23;Approved;1997;107;Ewe (Ghana) first name.;;10/1/06
Venus;Aegina Farrum;FR;20.9;35.5;60;62;Aegina Farrum;Aegina Farrum;Venus;60;35.5;20.9;35.5;35.5;20.9;20.9;Planetocentric  +East  0 - 360;Europe;Greek;Farrum, farra;FR;v08;Approved;1994;83;Greek river nymph.;;10/1/06
Venus;Aeracura Corona;CR;238.5;-19;250;67;Aeracura Corona;Aeracura Corona;Venus;250;-19;238.5;-19;-19;238.5;238.5;Planetocentric  +East  0 - 360;Europe;Celtic;Corona, coronae;CR;v39;Approved;1994;111;Celtic earth goddess.;;10/1/06
Venus;Aethelflaed;AA;196.6;-18.2;20;70;Aethelflaed;Aethelflaed;Venus;20;-18.2;196.6;-18.2;-18.2;196.6;196.6;Planetocentric  +East  0 - 360;Europe;England;Crater, craters;AA;v38;Approved;1994;99;English leader of the Mercians (c. 884-918).;;10/1/06
Venus;Afiba;AA;102.7;-47.1;9.5;73;Afiba;Afiba;Venus;9.5;-47.1;102.7;-47.1;-47.1;102.7;102.7;Planetocentric  +East  0 - 360;Africa;Ghana;Crater, craters;AA;v47;Approved;1997;107;Ewe first name.;;10/1/06
Venus;Afiruwa;AA;3.8;4.3;5.2;74;Afiruwa;Afiruwa;Venus;5.2;4.3;3.8;4.3;4.3;3.8;3.8;Planetocentric  +East  0 - 360;Africa;Nigeria;Crater, craters;AA;v20;Approved;1997;107;Hausa first name.;;10/1/06
Venus;Aftenia;AA;324;49.95;7;77;Aftenia;Aftenia;Venus;7;49.95;324;49.95;49.95;324;324;Planetocentric  +East  0 - 360;Europe;Moldova;Crater, craters;AA;v18;Approved;1997;107;Moldavian first name.;;4/8/10
Venus;Afua;AA;124;15.5;10;78;Afua;Afua;Venus;10;15.5;124;15.5;15.5;124;124;Planetocentric  +East  0 - 360;Africa;Ghana;Crater, craters;AA;v24;Approved;1997;107;Akan (Ghana) first name.;;10/1/06
Venus;Aglaonice;AA;339.9;-26.4;63.7;85;Aglaonice;Aglaonice;Venus;63.7;-26.4;339.9;-26.4;-26.4;339.9;339.9;Planetocentric  +East  0 - 360;Europe;Greek;Crater, craters;AA;v55;Approved;1991;99;Ancient Greek astronomer.;;10/1/06
Venus;Agnesi;AA;37.7;-39.4;42.4;87;Agnesi;Agnesi;Venus;42.4;-39.4;37.7;-39.4;-39.4;37.7;37.7;Planetocentric  +East  0 - 360;Europe;Italy;Crater, craters;AA;v45;Approved;1991;100;Maria. Italian mathematician (1718-1799).;;5/15/10
Venus;Agoe;AA;4.3;13.1;6.3;89;Agoe;Agoe;Venus;6.3;13.1;4.3;13.1;13.1;4.3;4.3;Planetocentric  +East  0 - 360;Africa;Ghana;Crater, craters;AA;v20;Approved;1997;107;Eve first name.;;10/1/06
Venus;Agraulos Corona;CR;165.8;-27.7;170;90;Agraulos Corona;Agraulos Corona;Venus;170;-27.7;165.8;-27.7;-27.7;165.8;165.8;Planetocentric  +East  0 - 360;Europe;Greek;Corona, coronae;CR;v49;Approved;1994;27;Greek fertility goddess.;;10/1/06
Venus;Agrippina;AA;65.7;-33.2;38.6;93;Agrippina;Agrippina;Venus;38.6;-33.2;65.7;-33.2;-33.2;65.7;65.7;Planetocentric  +East  0 - 360;Europe;Roman;Crater, craters;AA;v46;Approved;1991;99;Roman empress (c. 13 B.C.-A.D. 33).;;10/1/06
Venus;Agrona Linea;LI;280;40;2300;6978;Agrona Linea;Agrona Linea;Venus;2300;40;280;36;34;292;268;Planetocentric  +East  0 - 360;Europe;Wales;Linea, lineae;LI;v17;Approved;2006;127;Welsh goddess of slaughter, destroyer of life. ;;10/1/06
Venus;Ahava;AA;187.3;53.6;10.4;97;Ahava;Ahava;Venus;10.4;53.6;187.3;53.6;53.6;187.3;187.3;Planetocentric  +East  0 - 360;Asia;Hebrew;Crater, craters;AA;v05;Approved;1997;109;Hebrew first name.;;10/1/06
Venus;Ahsabkab Vallis;VA;79;-24;700;100;Ahsabkab Vallis;Ahsabkab Vallis;Venus;700;-24;79;-24;-24;79;79;Planetocentric  +East  0 - 360;South and Central America;Mayan;Vallis, valles;VA;v34;Approved;2000;107;Mayan name for morning Venus.;;10/1/06
Venus;Ahsonnutli Dorsa;DO;196.5;47.9;1708;101;Ahsonnutli Dorsa;Ahsonnutli Dorsa;Venus;1708;47.9;196.5;56.3;40.2;195.9;193.6;Planetocentric  +East  0 - 360;North America;Navajo;Dorsum, dorsa;DO;v14;Approved;1985;11;Navajo (N. America) spirit of light and sky.;;10/1/06
Venus;Aibarchin Planitia;PL;25;-73;1200;103;Aibarchin Planitia;Aibarchin Planitia;Venus;1200;-73;25;-73;-73;25;25;Planetocentric  +East  0 - 360;Asia;Uzbekistan;Planitia, planitiae;PL;v56;Approved;1997;107;Uzbek "Alpamysh" epic tale heroine.;;12/30/08
Venus;Aida Wedo Dorsa;DO;214;73;450;105;Aida-Wedo Dorsa;Aida Wedo Dorsa;Venus;450;73;214;73;73;214;214;Planetocentric  +East  0 - 360;South and Central America;Haiti;Dorsum, dorsa;DO;v05;Approved;1997;107;Haitian rainbow spirit.;;10/1/06
Venus;Aife Fossae;FO;131;67;280;107;Aife Fossae;Aife Fossae;Venus;280;67;131;67;67;131;131;Planetocentric  +East  0 - 360;Europe;Ireland;Fossa, fossae;FO;v04;Approved;1997;107;Irish warrior deity.;;10/1/06
Venus;Aigul;AA;280.4;38.2;6;108;Aigul;Aigul;Venus;6;38.2;280.4;38.2;38.2;280.4;280.4;Planetocentric  +East  0 - 360;Europe;Kalmyk;Crater, craters;AA;v17;Approved;1997;107;Kalmyk first name.;;12/30/08
Venus;Aikhylu Chasma;CM;292;32;300;109;Aikhylu Chasma;Aikhylu Chasma;Venus;300;32;292;32;32;292;292;Planetocentric  +East  0 - 360;Europe;Bashkir;Chasma, chasmata;CM;v17;Approved;1997;107;Bashkir myth's moon daughter.;;12/30/08
Venus;Ailar;AA;68.4;-15.8;8.2;110;Ailar;Ailar;Venus;8.2;-15.8;68.4;-15.8;-15.8;68.4;68.4;Planetocentric  +East  0 - 360;Asia;Turkmenistan;Crater, craters;AA;v34;Approved;1997;107;Turkman first name.;;12/30/08
Venus;Aimee;AA;127.2;16.1;17;111;Aimee;Aimee;Venus;17;16.1;127.2;16.1;16.1;127.2;127.2;Planetocentric  +East  0 - 360;Europe;France;Crater, craters;AA;v24;Approved;1994;82;French first name.;;10/1/06
Venus;Aino Planitia;PL;94.5;-40.5;4985;112;Aino Planitia;Aino Planitia;Venus;4985;-40.5;94.5;-30.1;-50.9;122.9;66;Planetocentric  +East  0 - 360;Europe;Finland;Planitia, planitiae;PL;v47;Approved;1982;48;Finnish heroine who became water spirit.;;10/1/06
Venus;Aisha;AA;53.3;39.3;10.6;116;Aisha;Aisha;Venus;10.6;39.3;53.3;39.3;39.3;53.3;53.3;Planetocentric  +East  0 - 360;Asia;Kyrgyzstan;Crater, craters;AA;v09;Approved;1997;107;Kyrgyz first name.;;12/30/08
Venus;Aita;AA;270.7;8.9;14;117;Aita;Aita;Venus;14;8.9;270.7;8.9;8.9;270.7;270.7;Planetocentric  +East  0 - 360;Europe;Estonia;Crater, craters;AA;v29;Approved;1994;108;Estonian first name.;;3/26/14
Venus;Aitchison Patera;PE;349.4;-16.7;28;118;Aitchison Patera;Aitchison Patera;Venus;28;-16.7;349.4;-16.7;-16.7;349.4;349.4;Planetocentric  +East  0 - 360;North America;American;Patera, paterae;PE;v43;Approved;1994;;Alison. American geographer.;;10/1/06
Venus;Ajina Fossae;FO;258;-45;300;122;Ajina Fossae;Ajina Fossae;Venus;300;-45;258;-45;-45;258;258;Planetocentric  +East  0 - 360;Asia;Tajik;Fossa, fossae;FO;v52;Approved;1997;107;Tajik evil spirit.;;12/30/08
Venus;Akeley;AA;244.5;8;23.4;126;Akeley;Akeley;Venus;23.4;8;244.5;8;8;244.5;244.5;Planetocentric  +East  0 - 360;North America;American;Crater, craters;AA;v28;Approved;1994;99;Delia. American explorer (1875-1970).;;10/1/06
Venus;Ak Ene Corona;CR;254.7;9.4;150;125;Ak-Ene Corona;Ak Ene Corona;Venus;150;9.4;254.7;10.2;8.8;255.3;254.1;Planetocentric  +East  0 - 360;Asia;Altai;Corona, coronae;CR;v28;Approved;2003;65;Altay Great Mother, "White Mother.";;12/30/08
Venus;Akewa Dorsa;DO;184;45.5;900;127;Akewa Dorsa;Akewa Dorsa;Venus;900;45.5;184;45.5;45.5;184;184;Planetocentric  +East  0 - 360;South and Central America;Argentina;Dorsum, dorsa;DO;v14;Approved;1997;107;Toba (Argentina) sun goddess.;;10/1/06
Venus;Akhmatova;AA;307.9;61.3;41.4;128;Akhmatova;Akhmatova;Venus;41.4;61.3;307.9;61.2;61.1;307.9;307.1;Planetocentric  +East  0 - 360;Europe;Soviet;Crater, craters;AA;v07;Approved;1985;64;Anna. Soviet poet (1889-1966).;;12/30/08
Venus;Akhtamar Planitia;PL;65;27;2700;130;Akhtamar Planitia;Akhtamar Planitia;Venus;2700;27;65;27;27;65;65;Planetocentric  +East  0 - 360;Asia;Armenian;Planitia, planitiae;PL;v10;Approved;1997;107;Armenian epic heroine.;;12/30/08
Venus;Akiko;AA;187.3;30.6;17.4;132;Akiko;Akiko;Venus;17.4;30.6;187.3;30.6;30.6;187.3;187.3;Planetocentric  +East  0 - 360;Asia;Japan;Crater, craters;AA;v14;Approved;1994;95;Yosano. Japanese Tanka poetess (1878-1942).;;10/1/06
Venus;Akka Tholus;TH;233;75.1;19.4;14597;Akka Tholus;Akka Tholus;Venus;19.4;75.1;233;75.1;75.1;233;233;Planetocentric  +East  0 - 360;Europe;Finland;Tholus, tholi;TH;v01;Approved;Sep 4, 2009;127;Finnish mother goddess.;;9/4/09
Venus;Akkruva Colles;CO;115.5;46.1;1059;135;Akkruva Colles;Akkruva Colles;Venus;1059;46.1;115.5;47.7;44.9;121;108.3;Planetocentric  +East  0 - 360;Europe;Latin;Collis, colles;CO;v11;Approved;1985;65;Saami-Lapp fishing goddess.;;10/1/06
Venus;Akna Montes;MO;318.2;68.9;830;136;Akna Montes;Akna Montes;Venus;830;68.9;318.2;72.7;65.6;320;311.6;Planetocentric  +East  0 - 360;South and Central America;Mayan;Mons, montes;MO;v07;Approved;1979;1;Mayan goddess of birth.;;10/1/06
Venus;Akosua;AA;18.1;-58.6;6.2;137;Akosua;Akosua;Venus;6.2;-58.6;18.1;-58.6;-58.6;18.1;18.1;Planetocentric  +East  0 - 360;Africa;Ghana;Crater, craters;AA;v56;Approved;1997;107;Akan first name.;;10/1/06
Venus;Aksentyeva;AA;271.9;-42;42.5;138;Aksentyeva;Aksentyeva;Venus;42.5;-42;271.9;-42;-42;271.9;271.9;Planetocentric  +East  0 - 360;Europe;Soviet;Crater, craters;AA;v53;Approved;1994;107;Zinaida. Soviet geophysicist, astronomer (1900-1969).;;12/30/08
Venus;Akuanda Dorsa;DO;232;63.5;800;140;Akuanda Dorsa;Akuanda Dorsa;Venus;800;63.5;232;63.5;63.5;232;232;Planetocentric  +East  0 - 360;Europe;Caucasus;Dorsum, dorsa;DO;v05;Approved;1997;107;Adygan light deity.;;12/30/08
Venus;Akuba;AA;23;9.6;5.5;141;Akuba;Akuba;Venus;5.5;9.6;23;9.6;9.6;23;23;Planetocentric  +East  0 - 360;Africa;Ghana;Crater, craters;AA;v20;Approved;1997;107;Eve first name.;;10/1/06
Venus;Alajen Vallis;VA;337.1;-3.3;200;155;Alajen Vallis;Alajen Vallis;Venus;200;-3.3;337.1;-2.7;-3.7;337.2;335.6;Planetocentric  +East  0 - 360;Asia;Iran;Vallis, valles;VA;v43;Approved;2000;65;Talysh (Caspian Sea, SW coast) river deity.;;10/1/06
Venus;Albasty Fossae;FO;336.5;-9;500;161;Albasty Fossae;Albasty Fossae;Venus;500;-9;336.5;-9;-9;336.5;336.5;Planetocentric  +East  0 - 360;Europe;Tartar;Fossa, fossae;FO;v43;Approved;1997;107;Tartar evil spirit.;;12/30/08
Venus;Albys Vallis;VA;30.5;-39.5;240;167;Albys Vallis;Albys Vallis;Venus;240;-39.5;30.5;-39.5;-39.5;30.5;30.5;Planetocentric  +East  0 - 360;Asia;Tuva;Vallis, valles;VA;v45;Approved;1997;107;Tuva/Altay river deity.;;12/30/08
Venus;Alcott;AA;354.4;-59.5;66;168;Alcott;Alcott;Venus;66;-59.5;354.4;-59.5;-59.5;354.4;354.4;Planetocentric  +East  0 - 360;North America;American;Crater, craters;AA;v61;Approved;1991;75;Louisa M.. American author (1832-1888).;;10/1/06
Venus;Alcyone Tholus;TH;256.4;-2.1;70;169;Alcyone Tholus;Alcyone Tholus;Venus;70;-2.1;256.4;-1.8;-2.5;256.8;256;Planetocentric  +East  0 - 360;Europe;Greek;Tholus, tholi;TH;v40;Approved;2003;83;Greek goddess who is the personification of a rain cloud.;;10/1/06
Venus;Aleksota Mons;MO;308.5;-9;250;175;Aleksota Mons;Aleksota Mons;Venus;250;-9;308.5;-9;-9;308.5;308.5;Planetocentric  +East  0 - 360;Europe;Lithuania;Mons, montes;MO;v42;Approved;1997;107;Lithuanian goddess of love.;;10/1/06
Venus;Ale Tholus;TH;247;68.2;87;173;Ale Tholus;Ale Tholus;Venus;87;68.2;247;68.9;67.6;247.8;246.2;Planetocentric  +East  0 - 360;Africa;Nigeria;Tholus, tholi;TH;v06;Approved;1985;64;Igbo (Nigeria) goddess who created Earth and vegetation.;;10/1/06
Venus;Alima;AA;229.2;-46;10.3;186;Alima;Alima;Venus;10.3;-46;229.2;-46;-46;229.2;229.2;Planetocentric  +East  0 - 360;Europe;Russia;Crater, craters;AA;v51;Approved;1994;108;Tatar first name.;;3/26/14
Venus;Alimat;AA;205.9;-29.5;13.5;187;Alimat;Alimat;Venus;13.5;-29.5;205.9;-29.5;-29.5;205.9;205.9;Planetocentric  +East  0 - 360;Asia;Georgia;Crater, craters;AA;v50;Approved;1994;108;Osset first name.;;3/26/14
Venus;Alina;AA;267.78;8.3;3.7;14600;Alina;Alina;Venus;3.7;8.3;267.78;8.3;8.3;267.78;267.78;Planetocentric  +East  0 - 360;Europe;France;Crater, craters;AA;v28;Approved;Oct 25, 2009;109;Short form of French first name Adeline/Adelaide.;;10/25/09
Venus;Alison;AA;165.6;-4;14.4;188;Alison;Alison;Venus;14.4;-4;165.6;-4;-4;165.6;165.6;Planetocentric  +East  0 - 360;Europe;Ireland;Crater, craters;AA;v37;Approved;1994;82;Irish first name.;;10/1/06
Venus;Alkonost Dorsa;DO;341;-5;730;190;Alkonost Dorsa;Alkonost Dorsa;Venus;730;-5;341;-5;-5;341;341;Planetocentric  +East  0 - 360;Europe;Slavic;Dorsum, dorsa;DO;v43;Approved;1997;107;E. Slavic wonder bird with woman's face, lives in Paradise.;;12/30/08
Venus;Allat Dorsa;DO;70;60;750;191;Allat Dorsa;Allat Dorsa;Venus;750;60;70;60;60;70;70;Planetocentric  +East  0 - 360;Asia;Arabian;Dorsum, dorsa;DO;v03;Approved;1985;1;Arab sky goddess.;;10/1/06
Venus;Allatu Corona;CR;114;15.5;125;192;Allatu Corona;Allatu Corona;Venus;125;15.5;114;15.5;15.5;114;114;Planetocentric  +East  0 - 360;Asia;Akkadian (Accadian);Corona, coronae;CR;v23;Approved;1994;27;Akkadian earth goddess.;;10/1/06
Venus;Alma;AA;228.8;-2.4;16.8;194;Alma;Alma;Venus;16.8;-2.4;228.8;-2.4;-2.4;228.8;228.8;Planetocentric  +East  0 - 360;Asia;Kazakhstan;Crater, craters;AA;v39;Approved;1994;108;Kazakh first name.;;3/26/14
Venus;Alma Merghen Planitia;PL;100;-76;1500;195;Alma-Merghen Planitia;Alma Merghen Planitia;Venus;1500;-76;100;-76;-76;100;100;Planetocentric  +East  0 - 360;Asia;Mongolia;Planitia, planitiae;PL;v62;Approved;1997;107;Mongol/Tibet/Buryat "Gheser" epic tale heroine.;;10/1/06
Venus;Almeida;AA;123.3;46.6;15.5;197;Almeida;Almeida;Venus;15.5;46.6;123.3;46.6;46.6;123.3;123.3;Planetocentric  +East  0 - 360;Europe;Portugal;Crater, craters;AA;v12;Approved;1985;83;Portuguese first name.;;10/1/06
Venus;Alpan Fluctus;FL;349;-7.5;500;201;Alpan Fluctus;Alpan Fluctus;Venus;500;-7.5;349;-7.5;-7.5;349;349;Planetocentric  +East  0 - 360;Europe;Caucasus;Fluctus, fluctūs;FL;v43;Approved;1997;107;Lezghin (Daghestan) fire goddess.;;12/30/08
Venus;Alpha Regio;RE;0.3;-25.5;1897;203;Alpha Regio;Alpha Regio;Venus;1897;-25.5;0.3;-17.2;-34.8;360;0;Planetocentric  +East  0 - 360;Europe;Greek;Regio, regiones;RE;v44;Approved;1979;83;First letter in Greek alphabet.;;10/1/06
Venus;Altana;AA;69.9;1.4;6;207;Altana;Altana;Venus;6;1.4;69.9;1.4;1.4;69.9;69.9;Planetocentric  +East  0 - 360;Europe;Kalmyk;Crater, craters;AA;v22;Approved;1997;107;Kalmyk first name.;;12/30/08
Venus;Al Taymuriyya;AA;336.1;32.9;19;152;Al-Taymuriyya;Al Taymuriyya;Venus;19;32.9;336.1;32.9;32.9;336.1;336.1;Planetocentric  +East  0 - 360;Africa;Egypt;Crater, craters;AA;v19;Approved;1991;99;Ayesha. Egyptian author, feminist (1840-1902).;;10/1/06
Venus;Al Uzza Undae;UN;90.5;67.7;150;153;Al-Uzza Undae;Al Uzza Undae;Venus;150;67.7;90.5;67.7;67.7;90.5;90.5;Planetocentric  +East  0 - 360;Asia;Arabian;Unda, undae;UN;v03;Approved;1994;111;Arabian desert goddess.;;10/1/06
Venus;Ama Corona;CR;278.2;-45.7;300;211;Ama Corona;Ama Corona;Venus;300;-45.7;278.2;-45.7;-45.7;278.2;278.2;Planetocentric  +East  0 - 360;Africa;Nigeria;Corona, coronae;CR;v53;Approved;1997;107;Jukun (Central Nigeria) goddess of childbirth, personification of earth.;;10/1/06
Venus;Amalasthuna;AA;342.4;-11.5;15.4;6775;[Amalasthuna];Amalasthuna;Venus;15.4;-11.5;342.4;-11.5;-11.5;342.4;342.4;Planetocentric  +East  0 - 360;Europe;Russia;Crater, craters;AA;v43;Dropped;1991;99;Ostrogoth queen (c. 498-535 A.D.). Changed to Amalasuntha.;;12/30/08
Venus;Amalasuntha;AA;342.4;-11.5;15.4;212;Amalasuntha;Amalasuntha;Venus;15.4;-11.5;342.4;-11.5;-11.5;342.4;342.4;Planetocentric  +East  0 - 360;Europe;Russia;Crater, craters;AA;v43;Approved;1991;99;Ostrogoth queen (c. 498-535 A.D.). Changed from Amalasthuna.;;12/30/08
Venus;Amanda;AA;94.5;-29.2;12.5;213;Amanda;Amanda;Venus;12.5;-29.2;94.5;-29.2;-29.2;94.5;94.5;Planetocentric  +East  0 - 360;Europe;Latin;Crater, craters;AA;v47;Approved;1997;109;Latin first name. Name changed from Lida.;;10/1/06
Venus;Amaya;AA;89.4;11.3;34.5;217;Amaya;Amaya;Venus;34.5;11.3;89.4;11.3;11.3;89.4;89.4;Planetocentric  +East  0 - 360;Europe;Spain;Crater, craters;AA;v22;Approved;1991;99;Carmen. Spanish Gypsy dancer (1913-1963).;;10/1/06
Venus;Ambar ona Corona;CR;82.5;-70;550;222;Ambar-ona Corona;Ambar ona Corona;Venus;550;-70;82.5;-70;-70;82.5;82.5;Planetocentric  +East  0 - 360;Asia;Uzbekistan;Corona, coronae;CR;v57;Approved;1997;107;Uzbek women's and fertility goddess.;;12/30/08
Venus;Amelia;AA;280.45;8.57;3.3;14601;Amelia;Amelia;Venus;3.3;8.57;280.45;8.57;8.57;280.45;280.45;Planetocentric  +East  0 - 360;Europe;Latin;Crater, craters;AA;v29;Approved;Oct 25, 2009;109;First name from Latin.;;10/25/09
Venus;Amenardes;AA;54.3;15;27.9;224;Amenardes;Amenardes;Venus;27.9;15;54.3;15;15;54.3;54.3;Planetocentric  +East  0 - 360;Africa;Egypt;Crater, craters;AA;v21;Approved;1991;99;Egyptian princess (718-655 B.C.).;;10/1/06
Venus;Ament Corona;CR;217.9;-67.2;115;225;Ament Corona;Ament Corona;Venus;115;-67.2;217.9;-67.2;-67.2;217.9;217.9;Planetocentric  +East  0 - 360;Africa;Egypt;Corona, coronae;CR;v59;Approved;1994;83;Egyptian earth goddess.;;10/1/06
Venus;Aminata;AA;25.2;6.6;9.7;233;Aminata;Aminata;Venus;9.7;6.6;25.2;6.6;6.6;25.2;25.2;Planetocentric  +East  0 - 360;Africa;Mali;Crater, craters;AA;v20;Approved;1997;107;Mandingo first name.;;10/1/06
Venus;Amitolane Dorsa;DO;335;-77;900;235;Amitolane Dorsa;Amitolane Dorsa;Venus;900;-77;335;-77;-77;335;335;Planetocentric  +East  0 - 360;North America;American;Dorsum, dorsa;DO;v62;Approved;1997;107;Zuni (SW USA) name of the rainbow.;;10/1/06
Venus;Among Corona;CR;213.5;-13.4;210;239;Among Corona;Among Corona;Venus;210;-13.4;213.5;-12.2;-14.5;214.6;212.5;Planetocentric  +East  0 - 360;Asia;Burma;Corona, coronae;CR;v39;Approved;2003;65;Karen (Burma/Myanmar) mythological first woman.;;10/1/06
Venus;Amra Tholus;TH;98;53;50;243;Amra Tholus;Amra Tholus;Venus;50;53;98;53;53;98;98;Planetocentric  +East  0 - 360;Asia;Georgia;Tholus, tholi;TH;v03;Approved;1997;107;Abkhazian sun deity.;;12/30/08
Venus;Anahit Corona;CR;277.3;77.1;324;248;Anahit Corona;Anahit Corona;Venus;324;77.1;277.3;77.3;76.9;284.5;270;Planetocentric  +East  0 - 360;Asia;Armenian;Corona, coronae;CR;v01;Approved;1985;65;Armenian goddess of fertility.;;10/1/06
Venus;Anala Corona;CR;14;11;240;6778;[Anala Corona];Anala Corona;Venus;240;11;14;11;11;14;14;Planetocentric  +East  0 - 360;Asia;India;Corona, coronae;CR;v20;Dropped;1994;83;Hindu fertility goddess. Name changed to Anala Mons.;;3/1/07
Venus;Anala Mons;MO;14.1;11;525;249;Anala Mons;Anala Mons;Venus;525;11;14.1;11;11;14.1;14.1;Planetocentric  +East  0 - 360;Asia;India;Mons, montes;MO;v20;Approved;1997;83;Hindu fertility goddess. Name changed from Anala Corona.;;10/1/06
Venus;Ananke Tessera;TE;137;53.3;1060;250;Ananke Tessera;Ananke Tessera;Venus;1060;53.3;137;57.1;50.2;137.4;128.5;Planetocentric  +East  0 - 360;Europe;Greek;Tessera, tesserae;TE;v04;Approved;1985;27;Greek goddess of necessity.;;10/1/06
Venus;Anaxandra;AA;162.3;44.2;20.4;253;Anaxandra;Anaxandra;Venus;20.4;44.2;162.3;44.2;44.2;162.3;162.3;Planetocentric  +East  0 - 360;Europe;Greek;Crater, craters;AA;v13;Approved;1994;99;Greek artist (fl. c. 228 B.C.).;;10/1/06
