BODY;NAME;TYPECODE;LONGIN;LATIN;LENGTHKM;Feature_ID;Feature_Name;Clean_Feature_Name;Target;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Continent;Ethnicity;Feature_Type;Feature_Type_Code;Quad;Approval_Status;Approval_Date;Reference;Origin;Additional_Info;Last_Updated
Venus;Seia Corona;CR;153;-3;225;5409;Seia Corona;Seia Corona;Venus;225;-3;153;-3;-3;153;153;Planetocentric  +East  0 - 360;Europe;Roman;Corona, coronae;CR;v37;Approved;1994;27;Roman grain goddess.;;10/1/06
Venus;Seiko;AA;216.6;-21;3.4;5411;Seiko;Seiko;Venus;3.4;-21;216.6;-21;-21;216.6;216.6;Planetocentric  +East  0 - 360;Asia;Japan;Crater, craters;AA;v39;Approved;2003;;Japanese first name.;;10/1/06
Venus;Seiusi Corona;CR;241;-62;150;5413;Seiusi Corona;Seiusi Corona;Venus;150;-62;241;-62;-62;241;241;Planetocentric  +East  0 - 360;South and Central America;Bolivia;Corona, coronae;CR;v60;Approved;1997;107;Tupi/Huarani (Bolivia) fertility goddess.;;10/1/06
Venus;Sekmet Mons;MO;240.5;44.5;285;5415;Sekmet Mons;Sekmet Mons;Venus;285;44.5;240.5;45.8;42.7;240.8;240.7;Planetocentric  +East  0 - 360;Africa;Egypt;Mons, montes;MO;v16;Approved;1985;83;Ancient Egyptian goddess of war and battle.;;10/1/06
Venus;Selma;AA;155.9;68.5;11.4;5420;Selma;Selma;Venus;11.4;68.5;155.9;68.5;68.5;155.9;155.9;Planetocentric  +East  0 - 360;Europe;Celtic;Crater, craters;AA;v04;Approved;1985;83;First name from Celtic.;;10/1/06
Venus;Selu Corona;CR;6;-42.5;300;5421;Selu Corona;Selu Corona;Venus;300;-42.5;6;-42.5;-42.5;6;6;Planetocentric  +East  0 - 360;North America;American;Corona, coronae;CR;v44;Approved;1994;83;Cherokee corn goddess.;;10/1/06
Venus;Semele Tholi;TH;202.9;64.3;194;5422;Semele Tholi;Semele Tholi;Venus;194;64.3;202.9;64.3;64.2;204.8;200.9;Planetocentric  +East  0 - 360;Asia;Phoenician;Tholus, tholi;TH;v05;Approved;1985;1;Frygian (Phoenician) Earth goddess.;;10/1/06
Venus;Semiramus Corona;CR;293;-37;375;5425;Semiramus Corona;Semiramus Corona;Venus;375;-37;293;-37;-37;293;293;Planetocentric  +East  0 - 360;Asia;Assyrian;Corona, coronae;CR;v53;Approved;1997;83;Assyrian fertility goddess.;;10/1/06
Venus;Semuni Dorsa;DO;8;75.9;514;5426;Semuni Dorsa;Semuni Dorsa;Venus;514;75.9;8;78.1;73.6;13.7;3.1;Planetocentric  +East  0 - 360;Asia;Siberia;Dorsum, dorsa;DO;v01;Approved;1985;65;Ulchian (Siberia) sky goddess.;;12/30/08
Venus;Senectus Tesserae;TE;292;50;1400;5428;Senectus Tesserae;Senectus Tesserae;Venus;1400;50;292;50;50;292;292;Planetocentric  +East  0 - 360;Europe;Roman;Tessera, tesserae;TE;;Approved;1997;107;Roman goddess of old age.;;10/1/06
Venus;Seo Ne Chasma;CM;26;-63.5;430;5431;Seo-Ne Chasma;Seo Ne Chasma;Venus;430;-63.5;26;-63.5;-63.5;26;26;Planetocentric  +East  0 - 360;Asia;Korea;Chasma, chasmata;CM;v56;Approved;1997;107;Korean moon deity, sun's wife.;;10/1/06
