BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated
Venus;YOKO;VEAA570S23200;Named formation;Crater;AA;YOKO;Approved by IAU in 1997;Not appliable;Japan;Japanese;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Japanese first name.;232;232 ° 0 ' ;-5.7;5 ° 42 '  South;v39;5;5;Venus;6664;Yoko;Yoko;Crater, craters;AA;5;-5.7;232;;;;;Planetographic  +East  0 - 360;v39;Japanese first name.;Asia;Japan;Approved;1997;107;10.01.2006
Venus;YOLANDA;VEAA780N15270;Named formation;Crater;AA;YOLANDA;Approved by IAU in 1997;Not appliable;Greece;Greek;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Greek first name.;152.7;152 ° 18 ' ;7.8;7 ° 48 '  North;v25;11.4;11.4;Venus;6665;Yolanda;Yolanda;Crater, craters;AA;11.4;7.8;152.7;;;;;Planetographic  +East  0 - 360;v25;Greek first name.;Europe;Greek;Approved;1997;107;10.01.2006
Venus;YOLKAI ESTSAN MONS;VEMO1700N19400;Named formation;Mountain;MO;YOLKAI ESTSAN MONS;Approved by IAU in 1997;Not appliable;Navajo people;Navajo;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Navajo myth female deity.;194;194 ° 0 ' ;17;17 ° 0 '  North;v26;600;;Venus;6666;Yolkai-Estsan Mons;Yolkai Estsan Mons;Mons, montes;MO;600;17;194;;;;;Planetographic  +East  0 - 360;v26;Navajo myth female deity.;North America;Navajo;Approved;1997;107;10.01.2006
Venus;YOMILE;VEAA2730S13870;Named formation;Crater;AA;YOMILE;Approved by IAU in 1997;Not appliable;Bashkir;Bashkir;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Bashkir first name.;138.7;138 ° 18 ' ;-27.3;27 ° 18 '  South;v48;13.6;13.6;Venus;6667;Yomile;Yomile;Crater, craters;AA;13.6;-27.3;138.7;;;;;Planetographic  +East  0 - 360;v48;Bashkir first name.;Europe;Bashkir;Approved;1997;107;12/30/08
Venus;YONGE;VEAA1400S11510;Named formation;Crater;AA;Charlotte YONGE;Approved by IAU in 1994;Writer;England;English;19;19 th century;;1823;;1901;;115.1;115 ° 54 ' ;-14;14 ° 0 '  South;v35;42.8;42.8;Venus;6668;Yonge;Yonge;Crater, craters;AA;42.8;-14;115.1;;;;;Planetographic  +East  0 - 360;v35;Charlotte. English writer (1823-1901).;Europe;England;Approved;1994;99;10.01.2006
Venus;YONOK;VEAA6510S23410;Named formation;Crater;AA;YONOK;Approved by IAU in 1997;Not appliable;Korea;Korean;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Korean first name.;234.1;234 ° 54 ' ;-65.1;65 ° 6 '  South;v59;9.5;9.5;Venus;6669;Yonok;Yonok;Crater, craters;AA;9.5;-65.1;234.1;;;;;Planetographic  +East  0 - 360;v59;Korean first name.;Asia;Korea;Approved;1997;107;10.01.2006
Venus;YONSUK;VEAA3400S23480;Named formation;Crater;AA;YONSUK;Approved by IAU in 1997;Not appliable;Korea;Korean;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Korean first name.;234.8;234 ° 12 ' ;-34;34 ° 0 '  South;v51;8.5;8.5;Venus;6670;Yonsuk;Yonsuk;Crater, craters;AA;8.5;-34;234.8;;;;;Planetographic  +East  0 - 360;v51;Korean first name.;Asia;Korea;Approved;1997;107;10.01.2006
Venus;YOSHIOKA;VEAA3240S5900;Named formation;Crater;AA;Yayoi YOSHIOKA;Approved by IAU in 1994;Physicist;Japan;Japanese;20;20 th century;;1871;;1959;College founder.;59;59 ° 0 ' ;-32.4;32 ° 24 '  South;v45;16.6;16.6;Venus;6674;Yoshioka;Yoshioka;Crater, craters;AA;16.6;-32.4;59;;;;;Planetographic  +East  0 - 360;v45;Yayoi. Japanese physician, college founder (c. 1871-1959).;Asia;Japan;Approved;1994;99;10.01.2006
Venus;YTUNDE;VEAA4990N8110;Named formation;Crater;AA;YTUNDE;Approved by IAU in 1997;Not appliable;Nigeria;Nigerian;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Yoruba first name.;81.1;81 ° 54 ' ;49.9;49 ° 54 '  North;v10;6.1;6.1;Venus;6676;Ytunde;Ytunde;Crater, craters;AA;6.1;49.9;81.1;;;;;Planetographic  +East  0 - 360;v10;Yoruba first name.;Africa;Nigeria;Approved;1997;107;10.01.2006
Venus;YUKI ONNE TESSERA;VETE3900N26100;Named formation;Polygonal terrain;TE;YUKI ONNE TESSERA;Approved by IAU in 1997;Not appliable;Japan;Japanese;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Japanese spirit of death.;261;261 ° 0 ' ;39;39 ° 0 '  North;v16;1200;;Venus;6678;Yuki-Onne Tessera;Yuki Onne Tessera;Tessera, tesserae;TE;1200;39;261;;;;;Planetographic  +East  0 - 360;v16;Japanese spirit of death.;Asia;Japan;Approved;1997;107;10.01.2006
