BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHPLACE;BIRTHDATE;DEATHPLACE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;QUADRANT;LENGTHKM;WIDEKM;LENGHTMI;WIDEMI;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Mercury;Benoit;MEAA751N10441E;Named formation;Crater;AA;Rigaud BENOIT;IAU approuved Jul 9, 2009;Painter;Haiti;from Haiti;20;20 th century;???;1911;???;1987;???;104.41;104 ° 35 '  E;7.51;7 ° 29 ' N;H-09;40.12;40.12;24;24;Mercury;14575;Benoit;Benoit;Crater, craters;AA;40.12;7.51;104.41;7.98;7.04;104.88;103.93;Planetographic  +East  0 - 360;H-09;Rigaud. Haitian painter (1911-1987).;South and Central America;Haiti;Approved;Jul 9, 2009;214;07/03/2011;
Mercury;Berkel;MEAA1370S2677E;Named formation;Crater;AA;Sabri BERKEL;IAU approuved Jul 9, 2009;Painter;Turkey;from Turkey;20;20 th century;???;1909;???;1993;???;26.77;26 ° 14 '  E;-13.7;14 ° 42 ' S;H-10;22.4;22.4;13;13;Mercury;14576;Berkel;Berkel;Crater, craters;AA;22.4;-13.7;26.77;-13.43;-13.96;27.04;26.5;Planetographic  +East  0 - 360;H-10;Sabri. Turkish painter and printmaker (1909-1993).;Asia;Turkey;Approved;Jul 9, 2009;211;07/03/2011;
Mercury;Bernini;MEAA8033S21937W;Named formation;Crater;AA;Gian Lorenzo BERNINI;IAU approuved 1976;Sculptor;Italy;from Italy;17;17 th century;???;1598;???;1680;???;219.37;140 ° 38 '  W;-80.33;81 ° 20 ' S;H-15;168.13;168.13;101;101;Mercury;708;Bernini;Bernini;Crater, craters;AA;168.13;-80.33;219.37;-78.36;-82.3;231.2;207.54;Planetographic  +East  0 - 360;H-15;Gian Lorenzo. Italian sculptor and architect (1598-1680).;Europe;Italy;Approved;1976;59;07/03/2011;
Mercury;Bjornson;MEAA7307N24548W;Named formation;Crater;AA;Bjornstjerne BJORNSON;IAU approuved 1985;Poet;Norway;from Norway;20;20 th century;???;1832;???;1910;???;245.48;114 ° 31 '  W;73.07;73 ° 56 ' N;H-01;75.93;75.93;45;45;Mercury;761;Bjornson;Bjornson;Crater, craters;AA;75.93;73.07;245.48;73.96;72.18;248.54;242.42;Planetographic  +East  0 - 360;H-01;Bjornstjerne. Norwegian poet and dramatist (1832-1910).;Europe;Norway;Approved;1985;59;07/03/2011;
Mercury;Boccaccio;MEAA8083S33676W;Named formation;Crater;AA;Giovanni BOCCACCIO;IAU approuved 1976;Novelist;Italy;from Italy;14;14 th century;???;1313;???;1375;???;336.76;23 ° 14 '  W;-80.83;81 ° 50 ' S;H-15;151.95;151.95;91;91;Mercury;788;Boccaccio;Boccaccio;Crater, craters;AA;151.95;-80.83;336.76;-79.05;-82.62;348.02;325.49;Planetographic  +East  0 - 360;H-15;Giovanni. Italian poet and novelist (1313-1375).;Europe;Italy;Approved;1976;59;07/03/2011;
Mercury;Boethius;MEAA104S28643W;Named formation;Crater;AA;Anicius Manlius Severinus BOETHIUS;IAU approuved 1976;Scholar;Romania (Rumania);from Romania (Rumania);4;4 th century;???;470;???;524;???;286.43;73 ° 34 '  W;-1.04;2 ° 2 ' S;H-07;114.73;114.73;69;69;Mercury;794;Boethius;Boethius;Crater, craters;AA;114.73;-1.04;286.43;0.31;-2.38;287.78;285.08;Planetographic  +East  0 - 360;H-07;Anicius Manlius Severinus. Roman scholar (c. A.D. 470-524).;Europe;Romania (Rumania);Approved;1976;59;07/03/2011;
Mercury;Borea;MEAL7500N0E;Named formation;Albedo Feature;AL;BOREA;IAU approuved 1976;Not appliable;Roma;from Roma;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Albedo name for H-1, Borealis region.;0;0 ° 0 '  E;75;75 ° 0 ' N;;??;??;??;??;Mercury;822;Borea;Borea;Albedo Feature;AL;0;75;0;;;;;Planetographic  +East  0 - 360;;Albedo name for H-1, Borealis region.;Europe;Roman;Approved;1976;60;07/03/2011;
Mercury;Borealis Planitia;MEPL7470N27991W;Named formation;Plain;PL;BOREALIS PLANITIA;IAU approuved 1976;Not appliable;Latin;from Latin;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;Not appliable;"Northern plain". from classical albedo name for quadrangle.;279.91;80 ° 5 '  W;74.7;74 ° 18 ' N;H-01;802.94;??;486;??;Mercury;823;Borealis Planitia;Borealis Planitia;Planitia, planitiae;PL;802.94;74.7;279.91;84.68;66.22;324.13;248.62;Planetographic  +East  0 - 360;H-01;"Northern plain". from classical albedo name for quadrangle.;Europe;Latin;Approved;1976;80;07/03/2011;
Mercury;Botticelli;MEAA6376N24667W;Named formation;Crater;AA;Sandro BOTTICELLI;IAU approuved 1979;Painter;Italy;from Italy;16;16 th century;???;1445;???;1510;???;246.67;113 ° 20 '  W;63.76;63 ° 14 ' N;H-03;136.35;136.35;82;82;Mercury;838;Botticelli;Botticelli;Crater, craters;AA;136.35;63.76;246.67;65.36;62.16;250.3;243.05;Planetographic  +East  0 - 360;H-03;Sandro. Italian painter (1445-1510).;Europe;Italy;Approved;1979;80;07/03/2011;
Mercury;Brahms;MEAA5831N18264W;Named formation;Crater;AA;JohannesBRAHMS;IAU approuved 1979;Composer;Germany;from Germany;19;19 th century;???;1833;???;1897;???;182.64;177 ° 22 '  W;58.31;58 ° 41 ' N;H-03;100.29;100.29;60;60;Mercury;859;Brahms;Brahms;Crater, craters;AA;100.29;58.31;182.64;59.48;57.13;184.89;180.4;Planetographic  +East  0 - 360;H-03;Johannes. German composer and pianist (1833-1897).;Europe;Germany;Approved;1979;59;07/03/2011;
