BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Ganymede;NAH-HUNTE;GAAA1780S27480;Named formation;Crater;AA;NAH HUNTE;Approuved by IAU in 2000;God;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Elamite god of light and justice.;274,80;274°48';-17,80;17°48' South;49.4;49.4;Ganymede;4109;Nah-Hunte;Nah Hunte;Crater, craters;AA;49.4;-17.8;274.8;-17.3;-18.3;275.3;274.3;Planetographic  +East  0 - 360;;Elamite god of light and justice.;Asia;Assyro-Babylonian;Approved;2000;1;10/01/2006;
Ganymede;NAMTAR;GAAA5830S1920;Named formation;Crater;AA;NAMTAR;Approuved by IAU in 1979;God;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Assyro-Babylonian plague demon.;19,20;19°12';-58,30;58°18' South;49.2;49.2;Ganymede;4132;Namtar;Namtar;Crater, craters;AA;49.2;-58.3;19.2;-57.8;-58.8;20.2;18.2;Planetographic  +East  0 - 360;;Assyro-Babylonian plague demon.;Asia;Assyro-Babylonian;Approved;1979;1;10/01/2006;
Ganymede;NANNA;GAAA1760S11810;Named formation;Crater;AA;NANNA;Approuved by IAU in 1985;Demon;Sumer;Sumerian;Not appliable;Not appliable;Not appliable;Not appliable;Sumerian moon god / god of wisdom.;118,10;118°6';-17,60;17°36' South;56,00;56,00;Ganymede;4141;Nanna;Nanna;Crater, craters;AA;56,00;-17.6;118.1;-17.1;-18.2;118.7;117.4;Planetographic  +East  0 - 360;;"Sumerian moon god; god of wisdom.";Asia;Sumerian;Approved;1985;27;10/01/2006;
Ganymede;NANSHE CATENA;GACA1540N710;Named formation;Craters chain;CA;NANSHE CATENA;Approuved by IAU in 1997;Goddess;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Goddess of springs and canals, daughter of Enki.;7,10;7°6';15,40;15°24' North;103.8;???;Ganymede;4145;Nanshe Catena;Nanshe Catena;Catena, catenae;CA;103.8;15.4;7.1;16.5;14.3;7.7;6.4;Planetographic  +East  0 - 360;;Goddess of springs and canals, daughter of Enki.;Asia;Assyro-Babylonian;Approved;1997;1;10/01/2006;
Ganymede;NEFERTUM;GAAA4430N3890;Named formation;Crater;AA;NEFERTUM;Approuved by IAU in 1997;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Original divine son of the Memphis triad, son of Ptah.;38,90;38°54';44,30;44°18' North;28.7;28.7;Ganymede;4191;Nefertum;Nefertum;Crater, craters;AA;28.7;44.3;38.9;44.7;44,00;39.4;38.5;Planetographic  +East  0 - 360;;Original divine son of the Memphis triad, son of Ptah.;Africa;Egypt;Approved;1997;1;10/01/2006;
Ganymede;NEHEH;GAAA7210N29750;Named formation;Crater;AA;NEHEH;Approuved by IAU in 1985;God;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian god of eternity.;297,50;297°30';72,10;72°6' North;54,00;54,00;Ganymede;4194;Neheh;Neheh;Crater, craters;AA;54,00;72.1;297.5;72.7;71.5;299.5;295.3;Planetographic  +East  0 - 360;;Egyptian god of eternity.;Africa;Egypt;Approved;1985;27;10/01/2006;
Ganymede;NEITH;GAAA2940N35300;Named formation;Crater;AA;NEITH;Approuved by IAU in 1988;Goddess;Egypt;Egyptian;Not appliable;Not appliable;Not appliable;Not appliable;Egyptian warrior goddess / goddess of domestic arts.;353,00;353°0';29,40;29°24' North;87.6;87.6;Ganymede;4197;Neith;Neith;Crater, craters;AA;87.6;29.4;353,00;30.3;28.5;353.9;351.8;Planetographic  +East  0 - 360;;"Egyptian warrior goddess; goddess of domestic arts.";Africa;Egypt;Approved;1988;1;10/01/2006;
Ganymede;NERGAL;GAAA3860N15970;Named formation;Crater;AA;NERGAL;Approuved by IAU in 1997;God;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Assyro-babylonian king of the underworld.;159,70;159°42';38,60;38°36' North;9.6;9.6;Ganymede;4215;Nergal;Nergal;Crater, craters;AA;9.6;38.6;159.7;38.7;38.5;159.8;159.5;Planetographic  +East  0 - 360;;Assyro-babylonian king of the underworld.;Asia;Assyro-Babylonian;Approved;1997;1;10/01/2006;
Ganymede;NICHOLSON REGIO;GARE3350S35520;Named formation;Broad geographic region;RE;NICHOLSON REGIO;Approuved by IAU in 1979;Astronomer;USA;American;20;20th century;1891;1963;Seth Barnes / American astronomer (1891-1963).;355,20;355°12';-33,50;33°30' South;3 900,00;???;Ganymede;4250;Nicholson Regio;Nicholson Regio;Regio, regiones;RE;3 900,00;-33.5;355.2;-7.4;-50,00;302.6;43.1;Planetographic  +East  0 - 360;;"Seth Barnes; American astronomer (1891-1963).";North America;American;Approved;1979;68;10/01/2006;
Ganymede;NIDABA;GAAA1770N23680;Named formation;Crater;AA;NIDABA;Approuved by IAU in 1985;Goddess;Sumer;Sumerian;Not appliable;Not appliable;Not appliable;Not appliable;Sumerian grain goddess.;236,80;236°48';17,70;17°42' North;199.4;199.4;Ganymede;4254;Nidaba;Nidaba;Crater, craters;AA;199.4;17.7;236.8;19.9;15.4;239,00;234.4;Planetographic  +East  0 - 360;;Sumerian grain goddess.;Asia;Sumerian;Approved;1985;27;10/01/2006;
Ganymede;NIGIRSU;GAAA5820S3950;Named formation;Crater;AA;NIGIRSU;Approuved by IAU in 1979;God;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;Assyro-Babylonian / god of the fields, war god.;39,50;39°30';-58,20;58°12' South;53.3;53.3;Ganymede;4263;Nigirsu;Nigirsu;Crater, craters;AA;53.3;-58.2;39.5;-57.7;-58.8;40.5;38.4;Planetographic  +East  0 - 360;;"Assyro-Babylonian; god of the fields, war god.";Asia;Assyro-Babylonian;Approved;1979;1;10/01/2006;
Ganymede;NINEVEH SULCUS;GASU2350N30690;Named formation;Subparallel furrows and ridges;SU;NINEVEH SULCUS;Approuved by IAU in 1997;Non appliable;Assyria & Babylon;Assyro-Babylonian;Not appliable;Not appliable;Not appliable;Not appliable;City where Ishtar was worshipped.;306,90;306°54';23,50;23°30' North;1 700,00;???;Ganymede;4288;Nineveh Sulcus;Nineveh Sulcus;Sulcus, sulci;SU;1 700,00;23.5;306.9;29.3;14.5;326.4;289.2;Planetographic  +East  0 - 360;;City where Ishtar was worshipped.;Asia;Assyro-Babylonian;Approved;1997;1;10/01/2006;
Ganymede;NINGISHZIDA;GAAA1410N17020;Named formation;Crater;AA;NINGISHZIDA;Approuved by IAU in 1997;God;Sumer;Sumerian;Not appliable;Not appliable;Not appliable;Not appliable;Sumerian vegetation god.;170,20;170°12';14,10;14°6' North;32,00;32,00;Ganymede;4290;Ningishzida;Ningishzida;Crater, craters;AA;32,00;14.1;170.2;14.5;13.8;170.5;169.8;Planetographic  +East  0 - 360;;Sumerian vegetation god.;Asia;Sumerian;Approved;1997;83;10/01/2006;
Ganymede;NINKASI;GAAA5920N31130;Named formation;Crater;AA;NINKASI;Approuved by IAU in 1988;Goddess;Sumer;Sumerian;Not appliable;Not appliable;Not appliable;Not appliable;Sumerian goddess of brewing.;311,30;311°18';59,20;59°12' North;81,00;81,00;Ganymede;4295;Ninkasi;Ninkasi;Crater, craters;AA;81,00;59.2;311.3;60.1;58.4;312.9;309.4;Planetographic  +East  0 - 360;;Sumerian goddess of brewing.;Asia;Sumerian;Approved;1988;83;10/01/2006;
