BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Ganymede;KISHAR;GAAA7260N1030;Formation nommée;Cratère;AA;KISHAR;Approuvé par l'UAI en 1979;Déesse;Assyrie & Babylone;Assyro-Babylonien;Non applicable;Non applicable;Non applicable;Non applicable;Déesse génitrice de la Terre.;10.3;10 ° 18 ' ;72.6;72 ° 36 '  Nord;79;79;Ganymede;3054;Kishar;Kishar;Crater, craters;AA;79;72.6;10.3;73.5;71.8;13.2;7.5;Planetographic  +East  0 - 360;;Assyro-Babylonian. terrestrial progenitor goddess.;Asia;Assyro-Babylonian;Approved;1979;1;10.01.2006;
Ganymede;KISHAR SULCUS;GASU640S14340;Formation nommée;Sillons & crêtes parallèles;SU;KISHAR SULCUS;Approuvé par l'UAI en 1979;Non applicable;Assyrie & Babylone;Assyro-Babylonien;Non applicable;Non applicable;Non applicable;Non applicable;Demeure terrestre des dieux Lakhmu & Lakhamu.;143.4;143 ° 24 ' ;-6.4;6 ° 24 '  Sud;1187;???;Ganymede;3055;Kishar Sulcus;Kishar Sulcus;Sulcus, sulci;SU;1187;-6.4;143.4;0.8;-13.2;154.6;131.2;Planetographic  +East  0 - 360;;Assyro-Babylonian. terrestrial-world home of Lakhmu and Lakhamu.;Asia;Assyro-Babylonian;Approved;1979;1;10.01.2006;
Ganymede;KITTU;GAAA40N2540;Formation nommée;Cratère;AA;KITTU;Approuvé par l'UAI en 1985;Dieu;Assyrie & Babylone;Assyro-Babylonien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu de la justice.;25.4;25 ° 24 ' ;0.4;0 ° 24 '  Nord;15;15;Ganymede;3058;Kittu;Kittu;Crater, craters;AA;15;0.4;25.4;0.6;0.2;25.6;25.2;Planetographic  +East  0 - 360;;Assyro-Babylonian god of justice.;Asia;Assyro-Babylonian;Approved;1985;1;10.01.2006;
Ganymede;KULLA;GAAA3330N24620;Formation nommée;Cratère;AA;KULLA;Approuvé par l'UAI en 1985;Dieu;Sumer;sumérien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu de la fabrication des briques.;246.2;246 ° 12 ' ;33.3;33 ° 18 '  Nord;92.4;92.4;Ganymede;3146;Kulla;Kulla;Crater, craters;AA;92.4;33.3;246.2;34.2;32.2;247.2;245.1;Planetographic  +East  0 - 360;;Sumerian god of brick making.;Asia;Sumerian;Approved;1985;27;10.01.2006;
Ganymede;LAGAMAL;GAAA6440N11520;Formation nommée;Cratère;AA;LAGAMAL;Approuvé par l'UAI en 2000;Dieu;Bangladesh;bengali;Non applicable;Non applicable;Non applicable;Non applicable;Fils de Ea.;115.2;115 ° 12 ' ;64.4;64 ° 24 '  Nord;131;131;Ganymede;3229;Lagamal;Lagamal;Crater, craters;AA;131;64.4;115.2;65.6;63.1;118.2;112.3;Planetographic  +East  0 - 360;;Son of Babylonian god Ea.;Asia;Bangladesh;Approved;2000;1;10.01.2006;
Ganymede;LAGASH SULCUS;GASU1090S19680;Formation nommée;Sillons & crêtes parallèles;SU;LAGASH SULCUS;Approuvé par l'UAI en 1985;Non applicable;Bangladesh;bengali;Non applicable;Non applicable;Non applicable;Non applicable;Ancienne ville babylonienne.;196.8;196 ° 48 ' ;-10.9;10 ° 54 '  Sud;1575;???;Ganymede;3231;Lagash Sulcus;Lagash Sulcus;Sulcus, sulci;SU;1575;-10.9;196.8;4.3;-21.5;207.3;185.7;Planetographic  +East  0 - 360;;Early Babylonian town.;Asia;Babylon;Approved;1985;1;10.01.2006;
Ganymede;LAKHAMU FOSSA;GAFO1160S13230;Formation nommée;Dépression longue et étroite;FO;LAKHAMU FOSSA;Approuvé par l'UAI en 1985;Dragon;Assyrie & Babylone;Assyro-Babylonien;Non applicable;Non applicable;Non applicable;Non applicable;Monstre, dragon ou force naturelle divine produit par Apsu & Tiamat.;132.3;132 ° 18 ' ;-11.6;11 ° 36 '  Sud;370;???;Ganymede;3241;Lakhamu Fossa;Lakhamu Fossa;Fossa, fossae;FO;370;-11.6;132.3;-9.9;-13.4;136.3;129.2;Planetographic  +East  0 - 360;;Dragon monster, or divine natural force produced by Apsu and Tiamat.;Asia;Assyro-Babylonian;Approved;1985;1;10.01.2006;
Ganymede;LAKHMU FOSSAE;GAFO5040N23200;Formation nommée;Dépression longue et étroite;FO;LAKHMU FOSSAE;Approuvé par l'UAI en 1985;Dragon;Assyrie & Babylone;Assyro-Babylonien;Non applicable;Non applicable;Non applicable;Non applicable;Monstre, dragon ou force naturelle divine produit par Apsu & Tiamat.;232;232 ° 0 ' ;50.4;50 ° 24 '  Nord;3700;???;Ganymede;3242;Lakhmu Fossae;Lakhmu Fossae;Fossa, fossae;FO;3700;50.4;232;80;-1.5;275;180;Planetographic  +East  0 - 360;;Dragon monster, or divine natural force produced by Apsu and Tiamat.;Asia;Assyro-Babylonian;Approved;1985;1;10.01.2006;
Ganymede;LARSA SULCUS;GASU380N11130;Formation nommée;Sillons & crêtes parallèles;SU;LARSA SULCUS;Approuvé par l'UAI en 2000;Non applicable;Sumer;sumérien;Non applicable;Non applicable;Non applicable;Non applicable;;111.3;111 ° 18 ' ;3.8;3 ° 48 '  Nord;1000;???;Ganymede;3283;Larsa Sulcus;Larsa Sulcus;Sulcus, sulci;SU;1000;3.8;111.3;5.6;0.9;121.2;100.8;Planetographic  +East  0 - 360;;Sumerian town.;Asia;Sumerian;Approved;2000;1;10.01.2006;
Ganymede;LATPON;GAAA5880N18880;Formation nommée;Cratère;AA;LATPON;Approuvé par l'UAI en 1997;Dieu;Phénicie;phénicien;Non applicable;Non applicable;Non applicable;Non applicable;Un des fils de El.;188.8;188 ° 48 ' ;58.8;58 ° 48 '  Nord;42;42;Ganymede;3294;Latpon;Latpon;Crater, craters;AA;42;58.8;188.8;59.2;58.3;189.5;188;Planetographic  +East  0 - 360;;One of the sons of El.;Asia;Phoenician;Approved;1997;1;10.01.2006;
