BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Callisto;ADAL;CAAA7550N28030;Formation nommée;Cratère;AA;ADAL;Approuvé par l'UAI en 1979;Héros;Scandinavie;nordique;Non applicable;Non applicable;Non applicable;Non applicable;Fils de Karl & Erna.;280.3;280°18';75.5;75°30';41.7;41.7;Callisto;44;Adal;Adal;Crater, craters;AA;41.7;75.5;280.3;76;75;281.9;278.4;Planetographic  +East  0 - 360;;Norse. son of Karl and Erna.;Europe;Norse;Approved;1979;17;10.01.2006;
Callisto;ADLINDA;CALG4850S32440;Formation nommée;Grande formation en anneau;LG;ADLINDA;Approuvé par l'UAI en 1979;Non applicable;Groenland;esquimau;Non applicable;Non applicable;Non applicable;Non applicable;Lieu des profondeurs marines où sont emprisonnées les âmes après la mort.;324.4;324°23';-48.5;-48°30';840;840;Callisto;54;Adlinda;Adlinda;Large ringed feature;LG;840;-48.5;324.4;-37.8;-56.2;336.6;311.2;Planetographic  +East  0 - 360;;Eskimo. place in ocean depths where souls are imprisoned after death.;North America;Eskimo;Approved;1979;1;10.01.2006;
Callisto;AEGIR;CAAA4580S25620;Formation nommée;Cratère;AA;AEGIR;Approuvé par l'UAI en 1997;Dieu;Scandinavie;nordique;Non applicable;Non applicable;Non applicable;Non applicable;Dieu de la Mer.;256.2;256°11';-45.8;-45°47';53.9;53.9;Callisto;63;Aegir;Aegir;Crater, craters;AA;53.9;-45.8;256.2;-45.2;-46.4;257.2;255.4;Planetographic  +East  0 - 360;;Norse sea god.;Europe;Norse;Approved;1997;17;10.01.2006;
Callisto;AGLOOLIK;CAAA4770S27760;Formation nommée;Cratère;AA;AGLOOLIK;Approuvé par l'UAI en 1997;Esprit;Groenland;esquimau;Non applicable;Non applicable;Non applicable;Non applicable;Esprit des cavernes.;277.6;277°36';-47.7;-47°42';61.6;61.6;Callisto;86;Agloolik;Agloolik;Crater, craters;AA;61.6;-47.7;277.6;-47;-48.4;278.8;276.6;Planetographic  +East  0 - 360;;Eskimo spirit of the seal caves.;North America;Eskimo;Approved;1997;1;10.01.2006;
Callisto;AGROI;CAAA4320N34910;Formation nommée;Cratère;AA;AGROI;Approuvé par l'UAI en 1979;Dieu;Finlande;finlandais;Non applicable;Non applicable;Non applicable;Non applicable;Dieu des jumeaux.;349.1;349°6';43.2;43°12';67.4;67.4;Callisto;6940;Ã„grÃ¶i;Agroi;Crater, craters;AA;67.4;43.2;349.1;43.9;42.4;350.1;348;Planetographic  +East  0 - 360;;Finno-Ugric god of twins.;Europe;Finland;Approved;1979;27;11/17/08;
Callisto;AHTI;CAAA4140N25760;Formation nommée;Cratère;AA;AHTI;Approuvé par l'UAI en 1988;Dieu;Finlande;finlandais;Non applicable;Non applicable;Non applicable;Non applicable;Dieu des Eaux. Envoie les poissons vers les pêcheurs.;257.6;257°36';41.4;41°23';54.8;54.8;Callisto;102;Ahti;Ahti;Crater, craters;AA;54.8;41.4;257.6;41.9;40.7;258.4;256.8;Planetographic  +East  0 - 360;;Finnish god of water. sends fish to the fisherman.;Europe;Finland;Approved;1988;64;10.01.2006;
Callisto;AJLEKE;CAAA2270N25860;Formation nommée;Cratère;AA;AJLEKE;Approuvé par l'UAI en 1988;Dieu;Laponie;saami;Non applicable;Non applicable;Non applicable;Non applicable;Dieu des jours heureux.;258.6;258°36';22.7;22°42';70;70;Callisto;123;Ajleke;Ajleke;Crater, craters;AA;70;22.7;258.6;23.6;21.9;259.6;257.7;Planetographic  +East  0 - 360;;Saami god of holidays.;Europe;Lapp;Approved;1988;64;10.01.2006;
Callisto;AKYCHA;CAAA7260N4130;Formation nommée;Cratère;AA;AKYCHA;Approuvé par l'UAI en 1979;Dieu;Alaska;alaskan;Non applicable;Non applicable;Non applicable;Non applicable;Autre nom du Soleil.;41.3;41°17';72.6;72°35';81;81;Callisto;143;Akycha;Akycha;Crater, craters;AA;81;72.6;41.3;73.5;71.8;44.6;38.5;Planetographic  +East  0 - 360;;Alaskan name of the sun.;North America;Eskimo;Approved;1979;26;10.01.2006;
Callisto;ALFR;CAAA990S13730;Formation nommée;Cratère;AA;ALFR;Approuvé par l'UAI en 1979;Héros;Scandinavie;nordique;Non applicable;Non applicable;Non applicable;Non applicable;Nain.;137.3;137°18';-9.9;-9°54';96;96;Callisto;180;Alfr;Alfr;Crater, craters;AA;96;-9.9;137.3;-8.7;-11;138.2;136;Planetographic  +East  0 - 360;;Norse dwarf.;Europe;Norse;Approved;1979;17;10.01.2006;
Callisto;ALI;CAAA5900N30410;Formation nommée;Cratère;AA;ALI;Approuvé par l'UAI en 1979;Héros;Scandinavie;nordique;Non applicable;Non applicable;Non applicable;Non applicable;Le plus fort des Hommes.;304.1;304°6';59;59°0';32.9;32.9;Callisto;6935;Ãli;Ali;Crater, craters;AA;32.9;59;304.1;59.4;58.6;304.8;303.3;Planetographic  +East  0 - 360;;Norse. strongest of men.;Europe;Norse;Approved;1979;17;11/17/08;
