BODY;NAME;PUN;NAMETYPE;TYPE;TYPECODE;NAMEDETAIL;NAMEORIGIN;WORK;COUNTRY;NATIONALTY;CENTURYN;CENTURYC;BIRTHDATE;DEATHDATE;FACTS;LONGIN;LONGIC;LATIN;LATIC;LENGTHKM;WIDEKM;Target;Feature_ID;Feature_Name;Clean_Feature_Name;Feature_Type;Feature_Type_Code;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Quad;Origin;Continent;Ethnicity;Approval_Status;Approval_Date;Reference;Last_Updated;Additional_Info
Io;NINURTA PATERA;IOPE1679S4481;Formation nommée;Cratère complexe / Caldera;PE;NINURTA PATERA;Approuvé par l'UAI en 1985;Dieu;Babylone;Babylonien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu babylonien du Soleil printanier;44.81;44°48';-16.79;-16°47';82.86;???;Io;4301;Ninurta Patera;Ninurta Patera;Patera, paterae;PE;82.86;-16.79;44.81;-15.64;-17.82;46.07;43.45;Planetographic  +East  0 - 360;;Babylonian god of the spring sun.;Asia;Babylon;Approved;1985;1;10.01.2006;
Io;NUSKU PATERA;IOPE6496S35639;Formation nommée;Cratère complexe / Caldera;PE;NUSKU PATERA;Approuvé par l'UAI en 1979;Dieu;Assyrie;assyrien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu assyrien du feu;356.39;356°23';-64.96;-64°58';127.99;???;Io;4363;Nusku Patera;Nusku Patera;Patera, paterae;PE;127.99;-64.96;356.39;-62.85;-66.8;358.67;353.21;Planetographic  +East  0 - 360;;Assyrian fire god.;Asia;Assyrian;Approved;1979;1;04.09.2009;
Io;NYAMBE PATERA;IOPE32N1684;Formation nommée;Cratère complexe / Caldera;PE;NYAMBE PATERA;Approuvé par l'UAI en 1979;Dieu;Zambie;zambien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu du feu au Zambeze;16.84;16°50';0.32;0°19';56.64;???;Io;4371;Nyambe Patera;Nyambe Patera;Patera, paterae;PE;56.64;0.32;16.84;1.12;-0.29;17.47;16.02;Planetographic  +East  0 - 360;;Zambezi sun god.;Africa;Zambia;Approved;1979;1;10.01.2006;
Io;OT MONS;IOMO428N14424;Formation nommée;Montagnes;MO;OT MONS;Approuvé par l'UAI en 2000;Déesse;Mongolie;mongol;Non applicable;Non applicable;Non applicable;Non applicable;Déesse mongole dufeu et du marriage;144.24;144°14';4.28;4°16';167.38;???;Io;4516;Ot Mons;Ot Mons;Mons, montes;MO;167.38;4.28;144.24;6.34;1.63;146.18;142.15;Planetographic  +East  0 - 360;;Mongolian fire and marriage goddess.;Asia;Mongolia;Approved;2000;127;10.01.2006;
Io;OT PATERA;IOPE114S14262;Formation nommée;Cratère complexe / Caldera;PE;OT PATERA;Approuvé par l'UAI en 2000;Déesse;Mongolie;mongol;Non applicable;Non applicable;Non applicable;Non applicable;Déesse mongole dufeu et du marriage;142.62;142°37';-1.14;-1°8';50.07;???;Io;4517;Ot Patera;Ot Patera;Patera, paterae;PE;50.07;-1.14;142.62;-0.27;-1.81;143.12;142.23;Planetographic  +East  0 - 360;;Mongolian fire and marriage goddess.;Asia;Mongolia;Approved;2000;127;10.01.2006;
Io;PAIVE PATERA;IOPE4569S145;Formation nommée;Cratère complexe / Caldera;PE;PAIVE PATERA;Approuvé par l'UAI en 1985;Dieu;Peuple lappon;lappon;Non applicable;Non applicable;Non applicable;Non applicable;Dieu du Soleil lapon;1.45;1°27';-45.69;-45°41';57.42;???;Io;4889;Paive Patera;Paive Patera;Patera, paterae;PE;57.42;-45.69;1.45;-44.86;-46.55;2.69;0.25;Planetographic  +East  0 - 360;;Saami-Lapp sun god.;Europe;Lapp;Approved;1985;30;11/17/08;
Io;PAN MENSA;IOMN5180S32914;Formation nommée;Plateau avec falaises;MN;PAN MENSA;Approuvé par l'UAI en 1985;Dieu;Grèce;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Père de Iynx;329.14;329°8';-51.8;-51°48';287.48;???;Io;4571;Pan Mensa;Pan Mensa;Mensa, mensae;MN;287.48;-51.8;329.14;-47.26;-56.22;333.23;322.3;Planetographic  +East  0 - 360;;Father of Iynx.;Europe;Greek;Approved;1985;19;04.09.2009;
Io;PAUTIWA PATERA;IOPE3420S1441;Formation nommée;Cratère complexe / Caldera;PE;PAUTIWA PATERA;Approuvé par l'UAI en 1985;Divinité;Peuple hopi;hopi;Non applicable;Non applicable;Non applicable;Non applicable;Nom hopi du Soleil;14.41;14°24';-34.2;-34°12';7.52;???;Io;4614;Pautiwa Patera;Pautiwa Patera;Patera, paterae;PE;7.52;-34.2;14.41;-34.08;-34.3;14.54;14.27;Planetographic  +East  0 - 360;;Hopi (USA) name for the sun.;North America;Hopi;Approved;1985;27;10.01.2006;
Io;PELE;IOER1871S10472;Formation nommée;Centre volcanique actif;ER;PELE;Approuvé par l'UAI en 1979;Déesse;Hawaii;hawaiien;Non applicable;Non applicable;Non applicable;Non applicable;Déesse hawaiienne des volcans;104.72;104°43';-18.71;-18°43';0;???;Io;4638;Pele;Pele;Eruptive center;ER;0;-18.71;104.72;;;;;Planetographic  +East  0 - 360;;Hawaiian goddess of the volcano.;Oceania;Hawaii;Approved;1979;1;04.09.2009;
Io;PILLAN MONS;IOMO802S11459;Formation nommée;Montagnes;MO;PILLAN MONS;Approuvé par l'UAI en 2006;Dieu;Auracanie;Auracanien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu araucanien du tonnerre, du feu et des volcans;114.59;114°35';-8.02;-8°1';201.09;???;Io;4728;Pillan Mons;Pillan Mons;Mons, montes;MO;201.09;-8.02;114.59;-6.04;-10.91;117.16;111.28;Planetographic  +East  0 - 360;;Araucanian thunder, fire, and volcano god.;South and Central America;Auracanian;Approved;2006;1;10.01.2006;
Io;PILLAN PATERA;IOPE1230S11671;Formation nommée;Cratère complexe / Caldera;PE;PILLAN PATERA;Approuvé par l'UAI en 1997;Dieu;Auracanie;Auracanien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu araucanien du tonnerre, du feu et des volcans;116.71;116°42';-12.3;-12°18';68.92;???;Io;4729;Pillan Patera;Pillan Patera;Patera, paterae;PE;68.92;-12.3;116.71;-11.4;-13.33;117.61;115.7;Planetographic  +East  0 - 360;;Araucanian thunder, fire, and volcano god.;South and Central America;Auracanian;Approved;1997;1;10.01.2006;
Io;PODJA PATERA;IOPE1850S5525;Formation nommée;Cratère complexe / Caldera;PE;PODJA PATERA;Approuvé par l'UAI en 1985;Divinité;Peuple tungu;tungu;Non applicable;Non applicable;Non applicable;Non applicable;Esprit tungu gardien du feu;55.25;55°15';-18.5;-18°30';69.61;???;Io;4772;Podja Patera;Podja Patera;Patera, paterae;PE;69.61;-18.5;55.25;-17.55;-19.45;56.34;54.17;Planetographic  +East  0 - 360;;Tungu spirit who keeps the fire.;Asia;Tungu;Approved;1985;51;12/30/08;
Io;PROMETHEUS;IOER152S20606;Formation nommée;Centre volcanique actif;ER;PROMETHEUS;Approuvé par l'UAI en 1979;Dieu;Grèce;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Dieu du feu grec;206.06;206°3';-1.52;-1°31';438.79;???;Io;4836;Prometheus;Prometheus;Eruptive center;ER;438.79;-1.52;206.06;5;-8;212.68;199.42;Planetographic  +East  0 - 360;;Greek fire god.;Europe;Greek;Approved;1979;1;04.09.2009;
Io;PROMETHEUS MENSA;IOMN249S20783;Formation nommée;Plateau avec falaises;MN;PROMETHEUS MENSA;Approuvé par l'UAI en 2006;Dieu;Grèce;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Dieu du feu grec;207.83;207°49';-2.49;-2°29';178.7;???;Io;4837;Prometheus Mensa;Prometheus Mensa;Mensa, mensae;MN;178.7;-2.49;207.83;0.32;-5.18;209.07;206.5;Planetographic  +East  0 - 360;;Greek fire god.;Europe;Greek;Approved;2006;1;10.01.2006;
Io;PROMETHEUS PATERA;IOPE64S20759;Formation nommée;Cratère complexe / Caldera;PE;PROMETHEUS PATERA;Approuvé par l'UAI en Jul 3, 2007;Dieu;Grèce;Non applicable;Non applicable;Non applicable;Non applicable;Non applicable;Dieu du feu grec;207.59;207°35';-0.64;0°38';28.27;???;Io;14297;Prometheus Patera;Prometheus Patera;Patera, paterae;PE;28.27;-0.64;207.59;-0.3;-1.09;207.94;207.17;Planetographic  +East  0 - 360;;Greek fire god.;Europe;Greek;Approved;Jul 3, 2007;1;07.03.2007;
Io;PURGINE PATERA;IOPE237S6274;Formation nommée;Cratère complexe / Caldera;PE;PURGINE PATERA;Approuvé par l'UAI en 1985;Dieu;Mordvinia (Russie);mordvinien;Non applicable;Non applicable;Non applicable;Non applicable;Dieu du tonnerre mordvinien;62.74;62°44';-2.37;-2°22';18.48;???;Io;4875;Purgine Patera;Purgine Patera;Patera, paterae;PE;18.48;-2.37;62.74;-2.11;-2.63;63.03;62.46;Planetographic  +East  0 - 360;;Mordvinian (Russia) thunder god.;Europe;Mordvinian;Approved;1985;51;12/30/08;
Io;PYERUN PATERA;IOPE5565S10894;Formation nommée;Cratère complexe / Caldera;PE;PYERUN PATERA;Approuvé par l'UAI en 1985;Dieu;Peuple slave;slave;Non applicable;Non applicable;Non applicable;Non applicable;Dieu slave du tonnerre;108.94;108°56';-55.65;-55°39';56.93;???;Io;4880;Pyerun Patera;Pyerun Patera;Patera, paterae;PE;56.93;-55.65;108.94;-55.09;-56.26;110.57;107.41;Planetographic  +East  0 - 360;;Slavonic god of thunder.;Europe;Slavic;Approved;1985;1;04.09.2009;
Io;RADEGAST PATERA;IOPE2781S20001;Formation nommée;Cratère complexe / Caldera;PE;RADEGAST PATERA;Approuvé par l'UAI en 2003;Héros;Peuple slave;slave;Non applicable;Non applicable;Non applicable;Non applicable;Divinité slave créant le tonnerre et les éclairs;200.01;200°0';-27.81;-27°49';25.75;???;Io;4917;Radegast Patera;Radegast Patera;Patera, paterae;PE;25.75;-27.81;200.01;-27.48;-28.19;200.44;199.58;Planetographic  +East  0 - 360;;West Slavic maker of thunder and lightning.;Europe;Slavic;Approved;2003;83;10.01.2006;
